ligand,gene,uniprot_acc,pocket_id,druggability_score,affinity_kcal_per_mol,status,message
cis_12_dichloroethylene,ACR-2,P48182,25,0.879,-2.3,OK,affinity=-2.30 kcal/mol elapsed=1.1s
cyclohexane,ACR-2,P48182,25,0.879,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.2s
dimethyl_ether,ACR-2,P48182,25,0.879,-1.7,OK,affinity=-1.70 kcal/mol elapsed=1.1s
hexafluoroethane,ACR-2,P48182,25,0.879,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.7s
methanol,ACR-2,P48182,25,0.879,-1.8,OK,affinity=-1.80 kcal/mol elapsed=1.1s
npentane,ACR-2,P48182,25,0.879,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.6s
trans_12_dichloroethylene,ACR-2,P48182,25,0.879,-2.3,OK,affinity=-2.30 kcal/mol elapsed=1.1s
benzene,ACR-2,P48182,2,0.125,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.3s
cis_12_dichloroethylene,ACR-2,P48182,2,0.125,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.1s
cyclohexane,ACR-2,P48182,2,0.125,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.2s
dimethyl_ether,ACR-2,P48182,2,0.125,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.0s
hexafluoroethane,ACR-2,P48182,2,0.125,-4.9,OK,affinity=-4.90 kcal/mol elapsed=1.8s
methanol,ACR-2,P48182,2,0.125,-2.0,OK,affinity=-2.00 kcal/mol elapsed=1.2s
npentane,ACR-2,P48182,2,0.125,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.7s
trans_12_dichloroethylene,ACR-2,P48182,2,0.125,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.1s
benzene,ACR-2,P48182,30,0.025,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,ACR-2,P48182,30,0.025,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.9s
cyclohexane,ACR-2,P48182,30,0.025,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.0s
dimethyl_ether,ACR-2,P48182,30,0.025,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.8s
hexafluoroethane,ACR-2,P48182,30,0.025,-3.6,OK,affinity=-3.60 kcal/mol elapsed=1.5s
methanol,ACR-2,P48182,30,0.025,-1.5,OK,affinity=-1.50 kcal/mol elapsed=0.8s
npentane,ACR-2,P48182,30,0.025,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.4s
trans_12_dichloroethylene,ACR-2,P48182,30,0.025,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.9s
benzene,AVR-14,Q8IFY7,1,0.507,-4.3,OK,affinity=-4.30 kcal/mol elapsed=2.4s
cis_12_dichloroethylene,AVR-14,Q8IFY7,1,0.507,-3.0,OK,affinity=-3.00 kcal/mol elapsed=2.4s
cyclohexane,AVR-14,Q8IFY7,1,0.507,-4.0,OK,affinity=-4.00 kcal/mol elapsed=2.4s
dimethyl_ether,AVR-14,Q8IFY7,1,0.507,-2.0,OK,affinity=-2.00 kcal/mol elapsed=2.4s
hexafluoroethane,AVR-14,Q8IFY7,1,0.507,-5.0,OK,affinity=-5.00 kcal/mol elapsed=3.0s
methanol,AVR-14,Q8IFY7,1,0.507,-2.0,OK,affinity=-2.00 kcal/mol elapsed=2.4s
npentane,AVR-14,Q8IFY7,1,0.507,-3.8,OK,affinity=-3.80 kcal/mol elapsed=2.9s
trans_12_dichloroethylene,AVR-14,Q8IFY7,1,0.507,-2.9,OK,affinity=-2.90 kcal/mol elapsed=2.4s
benzene,AVR-14,Q8IFY7,9,0.056,-2.7,OK,affinity=-2.70 kcal/mol elapsed=0.9s
cis_12_dichloroethylene,AVR-14,Q8IFY7,9,0.056,-1.9,OK,affinity=-1.90 kcal/mol elapsed=0.7s
cyclohexane,AVR-14,Q8IFY7,9,0.056,-2.6,OK,affinity=-2.60 kcal/mol elapsed=0.8s
dimethyl_ether,AVR-14,Q8IFY7,9,0.056,-1.4,OK,affinity=-1.40 kcal/mol elapsed=0.7s
hexafluoroethane,AVR-14,Q8IFY7,9,0.056,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.3s
methanol,AVR-14,Q8IFY7,9,0.056,-1.3,OK,affinity=-1.30 kcal/mol elapsed=0.7s
npentane,AVR-14,Q8IFY7,9,0.056,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.3s
trans_12_dichloroethylene,AVR-14,Q8IFY7,9,0.056,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.7s
benzene,AVR-14,Q8IFY7,21,0.028,-4.2,OK,affinity=-4.20 kcal/mol elapsed=1.2s
cis_12_dichloroethylene,AVR-14,Q8IFY7,21,0.028,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.2s
cyclohexane,AVR-14,Q8IFY7,21,0.028,-3.6,OK,affinity=-3.60 kcal/mol elapsed=1.2s
dimethyl_ether,AVR-14,Q8IFY7,21,0.028,-2.0,OK,affinity=-2.00 kcal/mol elapsed=1.1s
hexafluoroethane,AVR-14,Q8IFY7,21,0.028,-5.0,OK,affinity=-5.00 kcal/mol elapsed=1.8s
methanol,AVR-14,Q8IFY7,21,0.028,-2.0,OK,affinity=-2.00 kcal/mol elapsed=1.1s
npentane,AVR-14,Q8IFY7,21,0.028,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.7s
trans_12_dichloroethylene,AVR-14,Q8IFY7,21,0.028,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.2s
benzene,AVR-15,G5ECH3,13,0.917,-4.5,OK,affinity=-4.50 kcal/mol elapsed=1.1s
cis_12_dichloroethylene,AVR-15,G5ECH3,13,0.917,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.1s
cyclohexane,AVR-15,G5ECH3,13,0.917,-4.6,OK,affinity=-4.60 kcal/mol elapsed=1.1s
dimethyl_ether,AVR-15,G5ECH3,13,0.917,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.0s
hexafluoroethane,AVR-15,G5ECH3,13,0.917,-5.2,OK,affinity=-5.20 kcal/mol elapsed=1.7s
methanol,AVR-15,G5ECH3,13,0.917,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.0s
npentane,AVR-15,G5ECH3,13,0.917,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.7s
trans_12_dichloroethylene,AVR-15,G5ECH3,13,0.917,-3.0,OK,affinity=-3.00 kcal/mol elapsed=1.1s
benzene,AVR-15,G5ECH3,25,0.728,-4.5,OK,affinity=-4.50 kcal/mol elapsed=1.2s
cis_12_dichloroethylene,AVR-15,G5ECH3,25,0.728,-3.0,OK,affinity=-3.00 kcal/mol elapsed=1.1s
cyclohexane,AVR-15,G5ECH3,25,0.728,-4.6,OK,affinity=-4.60 kcal/mol elapsed=1.2s
dimethyl_ether,AVR-15,G5ECH3,25,0.728,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.0s
hexafluoroethane,AVR-15,G5ECH3,25,0.728,-5.2,OK,affinity=-5.20 kcal/mol elapsed=1.7s
methanol,AVR-15,G5ECH3,25,0.728,-1.7,OK,affinity=-1.70 kcal/mol elapsed=1.0s
npentane,AVR-15,G5ECH3,25,0.728,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.6s
trans_12_dichloroethylene,AVR-15,G5ECH3,25,0.728,-3.0,OK,affinity=-3.00 kcal/mol elapsed=1.1s
benzene,AVR-15,G5ECH3,27,0.226,-4.5,OK,affinity=-4.50 kcal/mol elapsed=1.1s
cis_12_dichloroethylene,AVR-15,G5ECH3,27,0.226,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.0s
cyclohexane,AVR-15,G5ECH3,27,0.226,-4.6,OK,affinity=-4.60 kcal/mol elapsed=1.2s
dimethyl_ether,AVR-15,G5ECH3,27,0.226,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.0s
hexafluoroethane,AVR-15,G5ECH3,27,0.226,-4.5,OK,affinity=-4.50 kcal/mol elapsed=1.6s
methanol,AVR-15,G5ECH3,27,0.226,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.0s
npentane,AVR-15,G5ECH3,27,0.226,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.6s
trans_12_dichloroethylene,AVR-15,G5ECH3,27,0.226,-2.8,OK,affinity=-2.80 kcal/mol elapsed=1.1s
benzene,EXP-1,G5ECJ0,2,0.984,-4.2,OK,affinity=-4.20 kcal/mol elapsed=1.3s
cis_12_dichloroethylene,EXP-1,G5ECJ0,2,0.984,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.3s
cyclohexane,EXP-1,G5ECJ0,2,0.984,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.3s
dimethyl_ether,EXP-1,G5ECJ0,2,0.984,-2.0,OK,affinity=-2.00 kcal/mol elapsed=1.3s
hexafluoroethane,EXP-1,G5ECJ0,2,0.984,-5.1,OK,affinity=-5.10 kcal/mol elapsed=1.9s
methanol,EXP-1,G5ECJ0,2,0.984,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.2s
npentane,EXP-1,G5ECJ0,2,0.984,-4.4,OK,affinity=-4.40 kcal/mol elapsed=1.8s
trans_12_dichloroethylene,EXP-1,G5ECJ0,2,0.984,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.3s
benzene,EXP-1,G5ECJ0,6,0.823,-3.5,OK,affinity=-3.50 kcal/mol elapsed=1.2s
cis_12_dichloroethylene,EXP-1,G5ECJ0,6,0.823,-2.3,OK,affinity=-2.30 kcal/mol elapsed=1.1s
cyclohexane,EXP-1,G5ECJ0,6,0.823,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.2s
dimethyl_ether,EXP-1,G5ECJ0,6,0.823,-1.8,OK,affinity=-1.80 kcal/mol elapsed=1.1s
hexafluoroethane,EXP-1,G5ECJ0,6,0.823,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.7s
methanol,EXP-1,G5ECJ0,6,0.823,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.0s
npentane,EXP-1,G5ECJ0,6,0.823,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.7s
trans_12_dichloroethylene,EXP-1,G5ECJ0,6,0.823,-2.2,OK,affinity=-2.20 kcal/mol elapsed=1.1s
benzene,EXP-1,G5ECJ0,57,0.697,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.2s
cis_12_dichloroethylene,EXP-1,G5ECJ0,57,0.697,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.1s
cyclohexane,EXP-1,G5ECJ0,57,0.697,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.2s
dimethyl_ether,EXP-1,G5ECJ0,57,0.697,-2.0,OK,affinity=-2.00 kcal/mol elapsed=1.1s
hexafluoroethane,EXP-1,G5ECJ0,57,0.697,-5.1,OK,affinity=-5.10 kcal/mol elapsed=1.7s
methanol,EXP-1,G5ECJ0,57,0.697,-1.7,OK,affinity=-1.70 kcal/mol elapsed=1.0s
npentane,EXP-1,G5ECJ0,57,0.697,-4.3,OK,affinity=-4.30 kcal/mol elapsed=1.6s
trans_12_dichloroethylene,EXP-1,G5ECJ0,57,0.697,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.1s
benzene,GAS-1,Q93873,11,0.885,-3.5,OK,affinity=-3.50 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,GAS-1,Q93873,11,0.885,-2.4,OK,affinity=-2.40 kcal/mol elapsed=0.9s
cyclohexane,GAS-1,Q93873,11,0.885,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.0s
dimethyl_ether,GAS-1,Q93873,11,0.885,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.8s
hexafluoroethane,GAS-1,Q93873,11,0.885,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.4s
methanol,GAS-1,Q93873,11,0.885,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.8s
npentane,GAS-1,Q93873,11,0.885,-3.0,OK,affinity=-3.00 kcal/mol elapsed=1.4s
trans_12_dichloroethylene,GAS-1,Q93873,11,0.885,-2.1,OK,affinity=-2.10 kcal/mol elapsed=0.9s
benzene,GAS-1,Q93873,5,0.358,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.3s
cis_12_dichloroethylene,GAS-1,Q93873,5,0.358,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.2s
cyclohexane,GAS-1,Q93873,5,0.358,-3.6,OK,affinity=-3.60 kcal/mol elapsed=1.3s
dimethyl_ether,GAS-1,Q93873,5,0.358,-2.1,OK,affinity=-2.10 kcal/mol elapsed=1.2s
hexafluoroethane,GAS-1,Q93873,5,0.358,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.7s
methanol,GAS-1,Q93873,5,0.358,-2.0,OK,affinity=-2.00 kcal/mol elapsed=1.1s
npentane,GAS-1,Q93873,5,0.358,-3.5,OK,affinity=-3.50 kcal/mol elapsed=1.7s
trans_12_dichloroethylene,GAS-1,Q93873,5,0.358,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.2s
benzene,GAS-1,Q93873,14,0.007,-3.7,OK,affinity=-3.70 kcal/mol elapsed=0.9s
cis_12_dichloroethylene,GAS-1,Q93873,14,0.007,-2.4,OK,affinity=-2.40 kcal/mol elapsed=0.8s
cyclohexane,GAS-1,Q93873,14,0.007,-3.6,OK,affinity=-3.60 kcal/mol elapsed=0.9s
dimethyl_ether,GAS-1,Q93873,14,0.007,-2.1,OK,affinity=-2.10 kcal/mol elapsed=0.8s
hexafluoroethane,GAS-1,Q93873,14,0.007,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.4s
methanol,GAS-1,Q93873,14,0.007,-1.9,OK,affinity=-1.90 kcal/mol elapsed=0.7s
npentane,GAS-1,Q93873,14,0.007,-2.8,OK,affinity=-2.80 kcal/mol elapsed=1.4s
trans_12_dichloroethylene,GAS-1,Q93873,14,0.007,-2.3,OK,affinity=-2.30 kcal/mol elapsed=0.8s
benzene,GLC-1,G5EBR3,8,0.306,-3.6,OK,affinity=-3.60 kcal/mol elapsed=0.9s
cis_12_dichloroethylene,GLC-1,G5EBR3,8,0.306,-2.3,OK,affinity=-2.30 kcal/mol elapsed=0.8s
cyclohexane,GLC-1,G5EBR3,8,0.306,-3.5,OK,affinity=-3.50 kcal/mol elapsed=0.9s
dimethyl_ether,GLC-1,G5EBR3,8,0.306,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.8s
hexafluoroethane,GLC-1,G5EBR3,8,0.306,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.4s
methanol,GLC-1,G5EBR3,8,0.306,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.7s
npentane,GLC-1,G5EBR3,8,0.306,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.4s
trans_12_dichloroethylene,GLC-1,G5EBR3,8,0.306,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.9s
benzene,GLC-1,G5EBR3,19,0.145,-3.5,OK,affinity=-3.50 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,GLC-1,G5EBR3,19,0.145,-2.5,OK,affinity=-2.50 kcal/mol elapsed=0.9s
cyclohexane,GLC-1,G5EBR3,19,0.145,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.0s
dimethyl_ether,GLC-1,G5EBR3,19,0.145,-1.7,OK,affinity=-1.70 kcal/mol elapsed=0.8s
hexafluoroethane,GLC-1,G5EBR3,19,0.145,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.5s
methanol,GLC-1,G5EBR3,19,0.145,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.8s
npentane,GLC-1,G5EBR3,19,0.145,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,GLC-1,G5EBR3,19,0.145,-2.4,OK,affinity=-2.40 kcal/mol elapsed=0.9s
benzene,GLC-1,G5EBR3,5,0.102,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.1s
cis_12_dichloroethylene,GLC-1,G5EBR3,5,0.102,-2.4,OK,affinity=-2.40 kcal/mol elapsed=1.0s
cyclohexane,GLC-1,G5EBR3,5,0.102,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.1s
dimethyl_ether,GLC-1,G5EBR3,5,0.102,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.0s
hexafluoroethane,GLC-1,G5EBR3,5,0.102,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.6s
methanol,GLC-1,G5EBR3,5,0.102,-1.9,OK,affinity=-1.90 kcal/mol elapsed=0.9s
npentane,GLC-1,G5EBR3,5,0.102,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,GLC-1,G5EBR3,5,0.102,-2.4,OK,affinity=-2.40 kcal/mol elapsed=1.0s
benzene,GLC-2,Q17328,30,0.448,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,GLC-2,Q17328,30,0.448,-2.6,OK,affinity=-2.60 kcal/mol elapsed=0.9s
cyclohexane,GLC-2,Q17328,30,0.448,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.0s
dimethyl_ether,GLC-2,Q17328,30,0.448,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.9s
hexafluoroethane,GLC-2,Q17328,30,0.448,-4.3,OK,affinity=-4.30 kcal/mol elapsed=1.5s
methanol,GLC-2,Q17328,30,0.448,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.8s
npentane,GLC-2,Q17328,30,0.448,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,GLC-2,Q17328,30,0.448,-2.5,OK,affinity=-2.50 kcal/mol elapsed=0.9s
benzene,GLC-2,Q17328,6,0.44,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,GLC-2,Q17328,6,0.44,-2.4,OK,affinity=-2.40 kcal/mol elapsed=0.9s
cyclohexane,GLC-2,Q17328,6,0.44,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.0s
dimethyl_ether,GLC-2,Q17328,6,0.44,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.8s
hexafluoroethane,GLC-2,Q17328,6,0.44,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.5s
methanol,GLC-2,Q17328,6,0.44,-1.9,OK,affinity=-1.90 kcal/mol elapsed=0.8s
npentane,GLC-2,Q17328,6,0.44,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.4s
trans_12_dichloroethylene,GLC-2,Q17328,6,0.44,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.9s
benzene,GLC-2,Q17328,7,0.322,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,GLC-2,Q17328,7,0.322,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.0s
cyclohexane,GLC-2,Q17328,7,0.322,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.0s
dimethyl_ether,GLC-2,Q17328,7,0.322,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.9s
hexafluoroethane,GLC-2,Q17328,7,0.322,-4.4,OK,affinity=-4.40 kcal/mol elapsed=1.5s
methanol,GLC-2,Q17328,7,0.322,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.9s
npentane,GLC-2,Q17328,7,0.322,-3.2,OK,affinity=-3.20 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,GLC-2,Q17328,7,0.322,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.0s
benzene,LEV-1,Q27218,2,0.756,-4.8,OK,affinity=-4.80 kcal/mol elapsed=1.1s
cis_12_dichloroethylene,LEV-1,Q27218,2,0.756,-2.8,OK,affinity=-2.80 kcal/mol elapsed=1.1s
cyclohexane,LEV-1,Q27218,2,0.756,-4.6,OK,affinity=-4.60 kcal/mol elapsed=1.1s
dimethyl_ether,LEV-1,Q27218,2,0.756,-1.8,OK,affinity=-1.80 kcal/mol elapsed=1.0s
hexafluoroethane,LEV-1,Q27218,2,0.756,-5.1,OK,affinity=-5.10 kcal/mol elapsed=1.7s
methanol,LEV-1,Q27218,2,0.756,-1.8,OK,affinity=-1.80 kcal/mol elapsed=1.0s
npentane,LEV-1,Q27218,2,0.756,-4.3,OK,affinity=-4.30 kcal/mol elapsed=1.6s
trans_12_dichloroethylene,LEV-1,Q27218,2,0.756,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.1s
benzene,LEV-1,Q27218,6,0.037,-3.3,OK,affinity=-3.30 kcal/mol elapsed=0.8s
cis_12_dichloroethylene,LEV-1,Q27218,6,0.037,-2.1,OK,affinity=-2.10 kcal/mol elapsed=0.8s
cyclohexane,LEV-1,Q27218,6,0.037,-3.1,OK,affinity=-3.10 kcal/mol elapsed=0.9s
dimethyl_ether,LEV-1,Q27218,6,0.037,-1.4,OK,affinity=-1.40 kcal/mol elapsed=0.8s
hexafluoroethane,LEV-1,Q27218,6,0.037,-3.5,OK,affinity=-3.50 kcal/mol elapsed=1.4s
methanol,LEV-1,Q27218,6,0.037,-1.4,OK,affinity=-1.40 kcal/mol elapsed=0.7s
npentane,LEV-1,Q27218,6,0.037,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.4s
trans_12_dichloroethylene,LEV-1,Q27218,6,0.037,-2.1,OK,affinity=-2.10 kcal/mol elapsed=0.8s
benzene,LEV-1,Q27218,3,0.02,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.2s
cis_12_dichloroethylene,LEV-1,Q27218,3,0.02,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.0s
cyclohexane,LEV-1,Q27218,3,0.02,-3.3,OK,affinity=-3.30 kcal/mol elapsed=1.1s
dimethyl_ether,LEV-1,Q27218,3,0.02,-1.8,OK,affinity=-1.80 kcal/mol elapsed=1.0s
hexafluoroethane,LEV-1,Q27218,3,0.02,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.7s
methanol,LEV-1,Q27218,3,0.02,-2.1,OK,affinity=-2.10 kcal/mol elapsed=1.0s
npentane,LEV-1,Q27218,3,0.02,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.6s
trans_12_dichloroethylene,LEV-1,Q27218,3,0.02,-2.3,OK,affinity=-2.30 kcal/mol elapsed=1.0s
benzene,MEV-1,P41956,10,0.866,-4.4,OK,affinity=-4.40 kcal/mol elapsed=1.1s
cis_12_dichloroethylene,MEV-1,P41956,10,0.866,-2.3,OK,affinity=-2.30 kcal/mol elapsed=1.1s
cyclohexane,MEV-1,P41956,10,0.866,-4.2,OK,affinity=-4.20 kcal/mol elapsed=1.1s
dimethyl_ether,MEV-1,P41956,10,0.866,-1.7,OK,affinity=-1.70 kcal/mol elapsed=1.0s
hexafluoroethane,MEV-1,P41956,10,0.866,-3.9,OK,affinity=-3.90 kcal/mol elapsed=1.6s
methanol,MEV-1,P41956,10,0.866,-2.0,OK,affinity=-2.00 kcal/mol elapsed=0.9s
npentane,MEV-1,P41956,10,0.866,-3.6,OK,affinity=-3.60 kcal/mol elapsed=1.7s
trans_12_dichloroethylene,MEV-1,P41956,10,0.866,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.0s
benzene,MEV-1,P41956,1,0.792,-4.4,OK,affinity=-4.40 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,MEV-1,P41956,1,0.792,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.0s
cyclohexane,MEV-1,P41956,1,0.792,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.1s
dimethyl_ether,MEV-1,P41956,1,0.792,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.9s
hexafluoroethane,MEV-1,P41956,1,0.792,-4.4,OK,affinity=-4.40 kcal/mol elapsed=1.6s
methanol,MEV-1,P41956,1,0.792,-1.7,OK,affinity=-1.70 kcal/mol elapsed=0.9s
npentane,MEV-1,P41956,1,0.792,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,MEV-1,P41956,1,0.792,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.0s
benzene,MEV-1,P41956,15,0.328,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,MEV-1,P41956,15,0.328,-2.5,OK,affinity=-2.50 kcal/mol elapsed=0.9s
cyclohexane,MEV-1,P41956,15,0.328,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.0s
dimethyl_ether,MEV-1,P41956,15,0.328,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.8s
hexafluoroethane,MEV-1,P41956,15,0.328,-4.4,OK,affinity=-4.40 kcal/mol elapsed=1.5s
