ensemble_id,organism,predicted_EC50_uM,fold_error
3,mouse,257.9299868370941,1.3569573832493405
4,mouse,271.83722340761557,1.287535222779923
5,mouse,267.08233650325604,1.3104573090917717
6,mouse,287.83999322090114,1.2159533360306694
7,mouse,298.8446851676182,1.1711769269167007
8,mouse,279.80329524580316,1.250878763570422
9,mouse,271.8970743706861,1.287251805890466
10,mouse,315.7169346303768,1.1085879837575385
11,mouse,298.00909912604163,1.1744607833332266
12,mouse,270.2063887418876,1.295306160707897
13,mouse,283.5320200378392,1.2344284781425754
14,mouse,267.1402519223927,1.3101732048290462
15,mouse,296.09834762837437,1.1820396932416395
16,mouse,283.5119487691949,1.2345158696818546
17,mouse,315.5447786789494,1.1091928108121447
18,mouse,284.20733484928604,1.231495310230482
19,mouse,266.2629969940095,1.3144898237882994
20,mouse,310.44771131802776,1.1274040272806336
21,mouse,305.84730577283096,1.1443618871044219
22,mouse,277.76835277791065,1.2600427532500151
23,mouse,284.4152066401261,1.230595241846049
24,mouse,268.0409000960315,1.3057708725593924
25,mouse,284.8883822614401,1.2285513267396333
26,mouse,305.34476000088296,1.1462453129996006
27,mouse,315.28328140363493,1.1101127799793473
28,mouse,291.70198021640965,1.199854727555637
29,mouse,310.2906701828316,1.127974617457143
30,mouse,282.48126065539145,1.2390202422205165
31,mouse,284.8883822614401,1.2285513267396333
32,mouse,270.7425213567062,1.2927411558632536
33,mouse,300.9744948003621,1.162889234957124
34,mouse,267.961630678376,1.3061571506112062
35,mouse,286.2091918664459,1.2228817590293217
36,mouse,279.1377801341157,1.2538610854891714
37,mouse,280.49241649437096,1.2478055712676424
38,mouse,296.9898865744441,1.178491308364025
39,mouse,288.09324202430656,1.2148844503977303
40,mouse,310.44771131802776,1.1274040272806336
41,mouse,266.3023775425236,1.3142954382527487
42,mouse,276.78902295271223,1.2645010133215993
43,mouse,313.3722447550385,1.1168825760992116
44,mouse,281.9466767981571,1.2413694815440637
45,mouse,310.44771131802776,1.1274040272806336
46,mouse,285.715214449955,1.2249960180587616
47,mouse,273.88498586473605,1.2779086772315988
48,mouse,308.8459369351406,1.1332511072454288
49,mouse,262.7756635147103,1.331934606571384
