anesthetic,gene,uniprot_acc,pocket_id,druggability_score,affinity_kcal_per_mol
halothane,UNC-18,P34815,3,0.315,-4.7
halothane,UNC-29,P48181,1,0.67,-4.1
halothane,UNC-29,P48181,2,0.083,-3.6
halothane,UNC-29,P48181,3,0.027,-3.8
halothane,UNC-38,Q23022,38,0.168,-3.7
halothane,UNC-38,Q23022,3,0.564,-4.2
halothane,UNC-38,Q23022,6,0.201,-3.5
halothane,UNC-49,G5EBQ0,11,0.026,-3.4
halothane,UNC-49,G5EBQ0,13,0.363,-3.7
halothane,UNC-49,G5EBQ0,7,0.574,-3.8
halothane,UNC-63,Q9N587,12,0.644,-4.1
halothane,UNC-63,Q9N587,2,0.339,-4.7
halothane,UNC-63,Q9N587,3,0.513,-3.6
halothane,UNC-64,O16000,15,0.168,-3.5
halothane,UNC-64,O16000,2,0.211,-2.5
halothane,UNC-64,O16000,7,0.156,-2.9
halothane,UNC-79,P42173,17,0.446,-4.1
halothane,UNC-79,P42173,4,0.163,-3.1
halothane,UNC-79,P42173,53,0.664,-3.8
isoflurane,ACR-16,P48180,11,0.7,-4.1
isoflurane,ACR-16,P48180,1,0.518,-5.5
isoflurane,ACR-16,P48180,23,0.033,-4.7
isoflurane,ACR-2,P48182,25,0.879,-4.3
isoflurane,ACR-2,P48182,2,0.125,-5.2
isoflurane,ACR-2,P48182,30,0.025,-3.9
isoflurane,AVR-14,Q8IFY7,1,0.507,-5.2
isoflurane,AVR-14,Q8IFY7,21,0.028,-4.4
isoflurane,AVR-14,Q8IFY7,9,0.056,-3.4
isoflurane,AVR-15,G5ECH3,13,0.917,-5.4
isoflurane,AVR-15,G5ECH3,25,0.728,-5.4
isoflurane,AVR-15,G5ECH3,27,0.226,-5.3
isoflurane,EXP-1,G5ECJ0,2,0.984,-4.5
isoflurane,EXP-1,G5ECJ0,57,0.697,-4.9
isoflurane,EXP-1,G5ECJ0,6,0.823,-4.4
isoflurane,GAS-1,Q93873,11,0.885,-3.7
isoflurane,GAS-1,Q93873,14,0.007,-4.4
isoflurane,GAS-1,Q93873,5,0.358,-4.4
isoflurane,GLC-1,G5EBR3,19,0.145,-4.3
isoflurane,GLC-1,G5EBR3,5,0.102,-4.3
isoflurane,GLC-1,G5EBR3,8,0.306,-4.1
isoflurane,GLC-2,Q17328,30,0.448,-4.3
isoflurane,GLC-2,Q17328,6,0.44,-3.9
isoflurane,GLC-2,Q17328,7,0.322,-4.3
isoflurane,LEV-1,Q27218,2,0.756,-5.5
isoflurane,LEV-1,Q27218,3,0.02,-4.4
isoflurane,LEV-1,Q27218,6,0.037,-3.6
isoflurane,MEV-1,P41956,10,0.866,-4.1
isoflurane,MEV-1,P41956,15,0.328,-4.4
isoflurane,MEV-1,P41956,1,0.792,-4.7
isoflurane,NCA-2,G5EDM1,171,0.964,-4.6
isoflurane,NCA-2,G5EDM1,173,0.989,-4.3
isoflurane,NCA-2,G5EDM1,175,0.944,-4.6
isoflurane,NLF-1,M4Q8W4,13,0.389,-4.2
isoflurane,NLF-1,M4Q8W4,14,0.402,-3.9
isoflurane,NLF-1,M4Q8W4,6,0.265,-3.5
isoflurane,NUO-1,Q17880,14,0.011,-4.9
isoflurane,NUO-1,Q17880,18,0.769,-4.9
isoflurane,NUO-1,Q17880,5,0.012,-4.0
isoflurane,NUO-2,Q86NC2,14,0.005,-3.8
isoflurane,NUO-2,Q86NC2,16,0.011,-4.1
isoflurane,NUO-2,Q86NC2,2,0.106,-5.3
isoflurane,NUO-3,O18236,1,0.963,-5.4
isoflurane,NUO-3,O18236,5,0.006,-3.8
isoflurane,NUO-3,O18236,8,0.002,-4.9
isoflurane,NUO-4,Q21233,16,0.398,-4.9
isoflurane,NUO-4,Q21233,1,0.403,-4.8
isoflurane,NUO-4,Q21233,23,0.224,-4.7
isoflurane,RIC-4,A5PEW5,3,0.082,-4.0
isoflurane,RIC-4,A5PEW5,5,0.059,-4.6
isoflurane,RIC-4,A5PEW5,7,0.054,-4.6
isoflurane,SNB-1,O02495,1,0.308,-2.9
isoflurane,SNB-1,O02495,2,0.219,-3.8
isoflurane,SNB-1,O02495,3,0.549,-3.8
isoflurane,SNT-1,P34693,10,0.576,-4.1
isoflurane,SNT-1,P34693,30,0.678,-4.2
isoflurane,SNT-1,P34693,34,0.172,-4.2
isoflurane,TWK-18,Q18120,1,0.184,-4.9
isoflurane,TWK-18,Q18120,31,0.815,-4.6
isoflurane,TWK-18,Q18120,3,0.058,-4.8
isoflurane,TWK-29,Q564V7,19,0.908,-4.2
isoflurane,TWK-29,Q564V7,1,0.409,-5.3
isoflurane,TWK-29,Q564V7,34,0.106,-4.4
isoflurane,TWK-7,P34410,17,0.06,-4.2
isoflurane,TWK-7,P34410,24,0.151,-4.2
isoflurane,TWK-7,P34410,3,0.165,-5.1
isoflurane,UNC-13,P27715,140,0.845,-4.4
isoflurane,UNC-13,P27715,149,0.187,-4.5
isoflurane,UNC-13,P27715,153,0.201,-4.5
isoflurane,UNC-18,P34815,12,0.612,-4.8
isoflurane,UNC-18,P34815,39,0.521,-3.3
isoflurane,UNC-18,P34815,3,0.315,-5.4
isoflurane,UNC-29,P48181,1,0.67,-4.8
isoflurane,UNC-29,P48181,2,0.083,-4.1
isoflurane,UNC-29,P48181,3,0.027,-4.6
isoflurane,UNC-38,Q23022,38,0.168,-4.4
isoflurane,UNC-38,Q23022,3,0.564,-5.0
isoflurane,UNC-38,Q23022,6,0.201,-4.2
isoflurane,UNC-49,G5EBQ0,11,0.026,-4.2
isoflurane,UNC-49,G5EBQ0,13,0.363,-4.1
isoflurane,UNC-49,G5EBQ0,7,0.574,-4.2
isoflurane,UNC-63,Q9N587,12,0.644,-4.7
isoflurane,UNC-63,Q9N587,2,0.339,-5.5
isoflurane,UNC-63,Q9N587,3,0.513,-4.3
isoflurane,UNC-64,O16000,15,0.168,-4.4
isoflurane,UNC-64,O16000,2,0.211,-3.1
isoflurane,UNC-64,O16000,7,0.156,-3.5
isoflurane,UNC-79,P42173,17,0.446,-4.6
isoflurane,UNC-79,P42173,4,0.163,-4.1
isoflurane,UNC-79,P42173,53,0.664,-4.4
ketamine,ACR-16,P48180,11,0.7,-5.8
ketamine,ACR-16,P48180,1,0.518,-5.2
ketamine,ACR-16,P48180,23,0.033,-5.9
ketamine,ACR-2,P48182,25,0.879,-6.6
ketamine,ACR-2,P48182,2,0.125,-5.7
ketamine,ACR-2,P48182,30,0.025,-6.0
ketamine,AVR-14,Q8IFY7,1,0.507,-6.4
ketamine,AVR-14,Q8IFY7,21,0.028,-5.5
ketamine,AVR-14,Q8IFY7,9,0.056,-3.9
ketamine,AVR-15,G5ECH3,13,0.917,-6.7
ketamine,AVR-15,G5ECH3,25,0.728,-6.5
ketamine,AVR-15,G5ECH3,27,0.226,-6.1
ketamine,EXP-1,G5ECJ0,2,0.984,-5.8
ketamine,EXP-1,G5ECJ0,57,0.697,-5.9
ketamine,EXP-1,G5ECJ0,6,0.823,-5.9
ketamine,GAS-1,Q93873,11,0.885,-5.1
ketamine,GAS-1,Q93873,14,0.007,-6.0
ketamine,GAS-1,Q93873,5,0.358,-5.0
ketamine,GLC-1,G5EBR3,19,0.145,-5.7
ketamine,GLC-1,G5EBR3,5,0.102,-5.6
ketamine,GLC-1,G5EBR3,8,0.306,-5.7
ketamine,GLC-2,Q17328,30,0.448,-5.9
ketamine,GLC-2,Q17328,6,0.44,-5.1
ketamine,GLC-2,Q17328,7,0.322,-5.6
ketamine,LEV-1,Q27218,2,0.756,-5.3
ketamine,LEV-1,Q27218,3,0.02,-5.9
ketamine,LEV-1,Q27218,6,0.037,-5.1
ketamine,MEV-1,P41956,10,0.866,-5.7
ketamine,MEV-1,P41956,15,0.328,-6.0
ketamine,MEV-1,P41956,1,0.792,-6.7
ketamine,NCA-2,G5EDM1,171,0.964,-6.2
ketamine,NCA-2,G5EDM1,173,0.989,-5.8
ketamine,NCA-2,G5EDM1,175,0.944,-5.9
ketamine,NLF-1,M4Q8W4,13,0.389,-5.8
ketamine,NLF-1,M4Q8W4,14,0.402,-5.2
ketamine,NLF-1,M4Q8W4,6,0.265,-5.1
ketamine,NUO-1,Q17880,14,0.011,-6.9
ketamine,NUO-1,Q17880,18,0.769,-6.8
ketamine,NUO-1,Q17880,5,0.012,-5.1
ketamine,NUO-2,Q86NC2,14,0.005,-5.3
ketamine,NUO-2,Q86NC2,16,0.011,-5.3
ketamine,NUO-2,Q86NC2,2,0.106,-7.0
ketamine,NUO-3,O18236,1,0.963,-7.4
ketamine,NUO-3,O18236,5,0.006,-4.6
ketamine,NUO-3,O18236,8,0.002,-7.3
ketamine,NUO-4,Q21233,16,0.398,-7.5
ketamine,NUO-4,Q21233,1,0.403,-5.6
ketamine,NUO-4,Q21233,23,0.224,-5.5
ketamine,RIC-4,A5PEW5,3,0.082,-5.1
ketamine,RIC-4,A5PEW5,5,0.059,-5.1
ketamine,RIC-4,A5PEW5,7,0.054,-5.0
ketamine,SNB-1,O02495,1,0.308,-3.9
ketamine,SNB-1,O02495,2,0.219,-4.9
ketamine,SNB-1,O02495,3,0.549,-4.9
ketamine,SNT-1,P34693,10,0.576,-5.5
ketamine,SNT-1,P34693,30,0.678,-5.5
ketamine,SNT-1,P34693,34,0.172,-5.4
ketamine,TWK-18,Q18120,1,0.184,-6.9
ketamine,TWK-18,Q18120,31,0.815,-5.2
ketamine,TWK-18,Q18120,3,0.058,-5.4
ketamine,TWK-29,Q564V7,19,0.908,-6.2
ketamine,TWK-29,Q564V7,1,0.409,-4.9
ketamine,TWK-29,Q564V7,34,0.106,-5.6
ketamine,TWK-7,P34410,17,0.06,-5.4
ketamine,TWK-7,P34410,24,0.151,-5.3
ketamine,TWK-7,P34410,3,0.165,-5.4
ketamine,UNC-13,P27715,140,0.845,-6.3
ketamine,UNC-13,P27715,149,0.187,-6.5
ketamine,UNC-13,P27715,153,0.201,-6.3
ketamine,UNC-18,P34815,12,0.612,-7.3
ketamine,UNC-18,P34815,39,0.521,-5.1
ketamine,UNC-18,P34815,3,0.315,-6.0
ketamine,UNC-29,P48181,1,0.67,-4.6
ketamine,UNC-29,P48181,2,0.083,-5.1
ketamine,UNC-29,P48181,3,0.027,-5.6
ketamine,UNC-38,Q23022,38,0.168,-5.4
ketamine,UNC-38,Q23022,3,0.564,-6.0
ketamine,UNC-38,Q23022,6,0.201,-4.9
ketamine,UNC-49,G5EBQ0,11,0.026,-5.6
ketamine,UNC-49,G5EBQ0,13,0.363,-6.1
ketamine,UNC-49,G5EBQ0,7,0.574,-5.7
ketamine,UNC-63,Q9N587,12,0.644,-6.2
ketamine,UNC-63,Q9N587,2,0.339,-4.9
ketamine,UNC-63,Q9N587,3,0.513,-5.5
ketamine,UNC-64,O16000,15,0.168,-5.7
ketamine,UNC-64,O16000,2,0.211,-3.9
ketamine,UNC-64,O16000,7,0.156,-4.2
ketamine,UNC-79,P42173,17,0.446,-5.6
ketamine,UNC-79,P42173,4,0.163,-4.8
ketamine,UNC-79,P42173,53,0.664,-6.4
propofol,ACR-16,P48180,11,0.7,-6.0
propofol,ACR-16,P48180,1,0.518,-4.8
propofol,ACR-16,P48180,23,0.033,-5.3
propofol,ACR-2,P48182,25,0.879,-6.2
propofol,ACR-2,P48182,2,0.125,-5.2
propofol,ACR-2,P48182,30,0.025,-5.3
propofol,AVR-14,Q8IFY7,1,0.507,-6.6
propofol,AVR-14,Q8IFY7,21,0.028,-6.3
propofol,AVR-14,Q8IFY7,9,0.056,-3.9
propofol,AVR-15,G5ECH3,13,0.917,-6.1
propofol,AVR-15,G5ECH3,25,0.728,-6.9
propofol,AVR-15,G5ECH3,27,0.226,-6.1
propofol,EXP-1,G5ECJ0,2,0.984,-5.2
propofol,EXP-1,G5ECJ0,57,0.697,-5.2
propofol,EXP-1,G5ECJ0,6,0.823,-5.2
propofol,GAS-1,Q93873,11,0.885,-5.0
propofol,GAS-1,Q93873,14,0.007,-5.2
propofol,GAS-1,Q93873,5,0.358,-5.4
propofol,GLC-1,G5EBR3,19,0.145,-5.2
propofol,GLC-1,G5EBR3,5,0.102,-5.4
propofol,GLC-1,G5EBR3,8,0.306,-5.2
propofol,GLC-2,Q17328,30,0.448,-4.8
propofol,GLC-2,Q17328,6,0.44,-5.0
propofol,GLC-2,Q17328,7,0.322,-4.1
propofol,LEV-1,Q27218,2,0.756,-5.6
propofol,LEV-1,Q27218,3,0.02,-5.2
propofol,LEV-1,Q27218,6,0.037,-4.8
propofol,MEV-1,P41956,10,0.866,-5.6
propofol,MEV-1,P41956,15,0.328,-5.3
propofol,MEV-1,P41956,1,0.792,-5.9
propofol,NCA-2,G5EDM1,171,0.964,-5.5
propofol,NCA-2,G5EDM1,173,0.989,-5.2
propofol,NCA-2,G5EDM1,175,0.944,-5.7
propofol,NLF-1,M4Q8W4,13,0.389,-5.3
propofol,NLF-1,M4Q8W4,14,0.402,-5.1
propofol,NLF-1,M4Q8W4,6,0.265,-4.8
propofol,NUO-1,Q17880,14,0.011,-6.5
propofol,NUO-1,Q17880,18,0.769,-6.5
propofol,NUO-1,Q17880,5,0.012,-5.1
propofol,NUO-2,Q86NC2,14,0.005,-4.8
propofol,NUO-2,Q86NC2,16,0.011,-4.7
propofol,NUO-2,Q86NC2,2,0.106,-6.2
propofol,NUO-3,O18236,1,0.963,-7.7
propofol,NUO-3,O18236,5,0.006,-4.8
propofol,NUO-3,O18236,8,0.002,-6.7
propofol,NUO-4,Q21233,16,0.398,-5.8
propofol,NUO-4,Q21233,1,0.403,-5.2
propofol,NUO-4,Q21233,23,0.224,-5.1
propofol,RIC-4,A5PEW5,3,0.082,-4.5
propofol,RIC-4,A5PEW5,5,0.059,-5.3
propofol,RIC-4,A5PEW5,7,0.054,-5.4
propofol,SNB-1,O02495,1,0.308,-4.2
propofol,SNB-1,O02495,2,0.219,-4.7
propofol,SNB-1,O02495,3,0.549,-4.7
propofol,SNT-1,P34693,10,0.576,-5.2
propofol,SNT-1,P34693,30,0.678,-5.4
propofol,SNT-1,P34693,34,0.172,-5.4
propofol,TWK-18,Q18120,1,0.184,-6.0
propofol,TWK-18,Q18120,31,0.815,-6.0
propofol,TWK-18,Q18120,3,0.058,-6.0
propofol,TWK-29,Q564V7,19,0.908,-6.0
propofol,TWK-29,Q564V7,1,0.409,-6.0
propofol,TWK-29,Q564V7,34,0.106,-5.2
propofol,TWK-7,P34410,17,0.06,-5.0
propofol,TWK-7,P34410,24,0.151,-5.2
propofol,TWK-7,P34410,3,0.165,-6.6
propofol,UNC-13,P27715,140,0.845,-5.5
propofol,UNC-13,P27715,149,0.187,-5.4
propofol,UNC-13,P27715,153,0.201,-5.4
propofol,UNC-18,P34815,12,0.612,-6.0
propofol,UNC-18,P34815,39,0.521,-4.7
propofol,UNC-18,P34815,3,0.315,-5.7
propofol,UNC-29,P48181,1,0.67,-4.4
propofol,UNC-29,P48181,2,0.083,-5.5
propofol,UNC-29,P48181,3,0.027,-5.2
propofol,UNC-38,Q23022,38,0.168,-5.3
propofol,UNC-38,Q23022,3,0.564,-5.6
propofol,UNC-38,Q23022,6,0.201,-5.0
propofol,UNC-49,G5EBQ0,11,0.026,-4.9
propofol,UNC-49,G5EBQ0,13,0.363,-5.5
propofol,UNC-49,G5EBQ0,7,0.574,-5.7
propofol,UNC-63,Q9N587,12,0.644,-5.3
propofol,UNC-63,Q9N587,2,0.339,-4.9
propofol,UNC-63,Q9N587,3,0.513,-4.9
propofol,UNC-64,O16000,15,0.168,-5.1
propofol,UNC-64,O16000,2,0.211,-3.7
propofol,UNC-64,O16000,7,0.156,-4.4
propofol,UNC-79,P42173,17,0.446,-5.6
propofol,UNC-79,P42173,4,0.163,-4.7
propofol,UNC-79,P42173,53,0.664,-5.5
sevoflurane,ACR-16,P48180,11,0.7,-4.6
sevoflurane,ACR-16,P48180,1,0.518,-6.0
sevoflurane,ACR-16,P48180,23,0.033,-5.1
sevoflurane,ACR-2,P48182,25,0.879,-4.5
sevoflurane,ACR-2,P48182,2,0.125,-5.2
sevoflurane,ACR-2,P48182,30,0.025,-4.3
sevoflurane,AVR-14,Q8IFY7,1,0.507,-5.5
sevoflurane,AVR-14,Q8IFY7,21,0.028,-5.4
sevoflurane,AVR-14,Q8IFY7,9,0.056,-3.2
sevoflurane,AVR-15,G5ECH3,13,0.917,-5.8
sevoflurane,AVR-15,G5ECH3,25,0.728,-5.9
sevoflurane,AVR-15,G5ECH3,27,0.226,-5.6
sevoflurane,EXP-1,G5ECJ0,2,0.984,-4.6
sevoflurane,EXP-1,G5ECJ0,57,0.697,-4.6
sevoflurane,EXP-1,G5ECJ0,6,0.823,-4.7
sevoflurane,GAS-1,Q93873,11,0.885,-3.7
sevoflurane,GAS-1,Q93873,14,0.007,-4.6
sevoflurane,GAS-1,Q93873,5,0.358,-4.6
sevoflurane,GLC-1,G5EBR3,19,0.145,-4.6
sevoflurane,GLC-1,G5EBR3,5,0.102,-4.3
sevoflurane,GLC-1,G5EBR3,8,0.306,-4.3
sevoflurane,GLC-2,Q17328,30,0.448,-4.9
sevoflurane,GLC-2,Q17328,6,0.44,-4.4
sevoflurane,GLC-2,Q17328,7,0.322,-5.0
sevoflurane,LEV-1,Q27218,2,0.756,-5.6
sevoflurane,LEV-1,Q27218,3,0.02,-4.5
sevoflurane,LEV-1,Q27218,6,0.037,-3.6
sevoflurane,MEV-1,P41956,10,0.866,-4.1
sevoflurane,MEV-1,P41956,15,0.328,-4.6
sevoflurane,MEV-1,P41956,1,0.792,-4.7
sevoflurane,NCA-2,G5EDM1,171,0.964,-4.7
sevoflurane,NCA-2,G5EDM1,173,0.989,-4.5
sevoflurane,NCA-2,G5EDM1,175,0.944,-4.9
sevoflurane,NLF-1,M4Q8W4,13,0.389,-4.3
sevoflurane,NLF-1,M4Q8W4,14,0.402,-4.2
sevoflurane,NLF-1,M4Q8W4,6,0.265,-3.8
sevoflurane,NUO-1,Q17880,14,0.011,-5.1
sevoflurane,NUO-1,Q17880,18,0.769,-5.2
sevoflurane,NUO-1,Q17880,5,0.012,-4.1
sevoflurane,NUO-2,Q86NC2,14,0.005,-4.0
sevoflurane,NUO-2,Q86NC2,16,0.011,-4.1
sevoflurane,NUO-2,Q86NC2,2,0.106,-5.2
sevoflurane,NUO-3,O18236,1,0.963,-5.8
sevoflurane,NUO-3,O18236,5,0.006,-4.0
sevoflurane,NUO-3,O18236,8,0.002,-5.4
sevoflurane,NUO-4,Q21233,16,0.398,-4.9
sevoflurane,NUO-4,Q21233,1,0.403,-5.2
sevoflurane,NUO-4,Q21233,23,0.224,-4.9
sevoflurane,RIC-4,A5PEW5,3,0.082,-4.5
sevoflurane,RIC-4,A5PEW5,5,0.059,-4.8
sevoflurane,RIC-4,A5PEW5,7,0.054,-4.8
sevoflurane,SNB-1,O02495,1,0.308,-3.0
sevoflurane,SNB-1,O02495,2,0.219,-3.9
sevoflurane,SNB-1,O02495,3,0.549,-3.8
sevoflurane,SNT-1,P34693,10,0.576,-4.4
sevoflurane,SNT-1,P34693,30,0.678,-4.3
