anesthetic,gene,uniprot_acc,pocket_id,druggability_score,center_x,center_y,center_z,size_x,size_y,size_z,affinity_kcal_per_mol,status,message
halothane,LEV-1,Q27218,3,0.02,,,,,,,-3.7,OK,
halothane,LEV-1,Q27218,6,0.037,,,,,,,-3.3,OK,
halothane,MEV-1,P41956,10,0.866,,,,,,,-3.5,OK,
halothane,MEV-1,P41956,15,0.328,,,,,,,-4.0,OK,
halothane,MEV-1,P41956,1,0.792,,,,,,,-4.0,OK,
halothane,NCA-2,G5EDM1,171,0.964,,,,,,,-3.8,OK,
halothane,NCA-2,G5EDM1,173,0.989,,,,,,,-3.7,OK,
halothane,NCA-2,G5EDM1,175,0.944,,,,,,,-4.0,OK,
halothane,NLF-1,M4Q8W4,13,0.389,,,,,,,-3.7,OK,
halothane,NLF-1,M4Q8W4,14,0.402,,,,,,,-3.5,OK,
halothane,NLF-1,M4Q8W4,6,0.265,,,,,,,-3.1,OK,
halothane,NUO-1,Q17880,14,0.011,,,,,,,-4.0,OK,
halothane,NUO-1,Q17880,18,0.769,,,,,,,-4.0,OK,
halothane,NUO-1,Q17880,5,0.012,,,,,,,-3.5,OK,
halothane,NUO-2,Q86NC2,14,0.005,,,,,,,-3.3,OK,
halothane,NUO-2,Q86NC2,16,0.011,,,,,,,-3.6,OK,
halothane,NUO-2,Q86NC2,2,0.106,,,,,,,-4.6,OK,
halothane,NUO-3,O18236,1,0.963,,,,,,,-4.5,OK,
halothane,NUO-3,O18236,5,0.006,,,,,,,-3.2,OK,
halothane,NUO-3,O18236,8,0.002,,,,,,,-4.1,OK,
halothane,NUO-4,Q21233,16,0.398,,,,,,,-4.0,OK,
halothane,NUO-4,Q21233,1,0.403,,,,,,,-4.1,OK,
halothane,NUO-4,Q21233,23,0.224,,,,,,,-3.9,OK,
halothane,RIC-4,A5PEW5,3,0.082,,,,,,,-3.3,OK,
halothane,RIC-4,A5PEW5,5,0.059,,,,,,,-3.6,OK,
halothane,RIC-4,A5PEW5,7,0.054,,,,,,,-3.6,OK,
halothane,SNB-1,O02495,1,0.308,,,,,,,-2.6,OK,
halothane,SNB-1,O02495,2,0.219,,,,,,,-3.1,OK,
halothane,SNB-1,O02495,3,0.549,,,,,,,-3.1,OK,
halothane,SNT-1,P34693,10,0.576,,,,,,,-3.7,OK,
halothane,SNT-1,P34693,30,0.678,,,,,,,-3.5,OK,
halothane,SNT-1,P34693,34,0.172,,,,,,,-3.5,OK,
halothane,TWK-18,Q18120,1,0.184,,,,,,,-4.2,OK,
halothane,TWK-18,Q18120,31,0.815,,,,,,,-4.2,OK,
halothane,TWK-18,Q18120,3,0.058,,,,,,,-4.2,OK,
halothane,TWK-29,Q564V7,19,0.908,,,,,,,-3.6,OK,
halothane,TWK-29,Q564V7,1,0.409,,,,,,,-4.4,OK,
halothane,TWK-29,Q564V7,34,0.106,,,,,,,-3.1,OK,
halothane,TWK-7,P34410,17,0.06,,,,,,,-3.8,OK,
halothane,TWK-7,P34410,24,0.151,,,,,,,-3.8,OK,
halothane,TWK-7,P34410,3,0.165,,,,,,,-4.0,OK,
halothane,UNC-13,P27715,140,0.845,,,,,,,-3.6,OK,
halothane,UNC-13,P27715,149,0.187,,,,,,,-3.6,OK,
halothane,UNC-13,P27715,153,0.201,,,,,,,-3.6,OK,
halothane,UNC-18,P34815,12,0.612,,,,,,,-4.1,OK,
halothane,UNC-18,P34815,39,0.521,,,,,,,-2.9,OK,
halothane,UNC-18,P34815,3,0.315,,,,,,,-4.7,OK,
halothane,UNC-29,P48181,1,0.67,,,,,,,-4.1,OK,
halothane,UNC-29,P48181,2,0.083,,,,,,,-3.6,OK,
halothane,UNC-29,P48181,3,0.027,,,,,,,-3.8,OK,
halothane,UNC-38,Q23022,38,0.168,,,,,,,-3.7,OK,
halothane,UNC-38,Q23022,3,0.564,,,,,,,-4.2,OK,
halothane,UNC-38,Q23022,6,0.201,,,,,,,-3.5,OK,
halothane,UNC-49,G5EBQ0,11,0.026,,,,,,,-3.4,OK,
halothane,UNC-49,G5EBQ0,13,0.363,,,,,,,-3.7,OK,
halothane,UNC-49,G5EBQ0,7,0.574,,,,,,,-3.8,OK,
halothane,UNC-63,Q9N587,12,0.644,,,,,,,-4.1,OK,
halothane,UNC-63,Q9N587,2,0.339,,,,,,,-4.7,OK,
halothane,UNC-63,Q9N587,3,0.513,,,,,,,-3.6,OK,
halothane,UNC-64,O16000,15,0.168,,,,,,,-3.5,OK,
halothane,UNC-64,O16000,2,0.211,,,,,,,-2.5,OK,
halothane,UNC-64,O16000,7,0.156,,,,,,,-2.9,OK,
halothane,UNC-79,P42173,17,0.446,,,,,,,-4.1,OK,
halothane,UNC-79,P42173,4,0.163,,,,,,,-3.1,OK,
halothane,UNC-79,P42173,53,0.664,,,,,,,-3.8,OK,
isoflurane,ACR-16,P48180,11,0.7,,,,,,,-4.1,OK,
isoflurane,ACR-16,P48180,1,0.518,,,,,,,-5.5,OK,
isoflurane,ACR-16,P48180,23,0.033,,,,,,,-4.7,OK,
isoflurane,ACR-2,P48182,25,0.879,,,,,,,-4.3,OK,
isoflurane,ACR-2,P48182,2,0.125,,,,,,,-5.2,OK,
isoflurane,ACR-2,P48182,30,0.025,,,,,,,-3.9,OK,
isoflurane,AVR-14,Q8IFY7,1,0.507,,,,,,,-5.2,OK,
isoflurane,AVR-14,Q8IFY7,21,0.028,,,,,,,-4.4,OK,
isoflurane,AVR-14,Q8IFY7,9,0.056,,,,,,,-3.4,OK,
isoflurane,AVR-15,G5ECH3,13,0.917,,,,,,,-5.4,OK,
isoflurane,AVR-15,G5ECH3,25,0.728,,,,,,,-5.4,OK,
isoflurane,AVR-15,G5ECH3,27,0.226,,,,,,,-5.3,OK,
isoflurane,EXP-1,G5ECJ0,2,0.984,,,,,,,-4.5,OK,
isoflurane,EXP-1,G5ECJ0,57,0.697,,,,,,,-4.9,OK,
isoflurane,EXP-1,G5ECJ0,6,0.823,,,,,,,-4.4,OK,
isoflurane,GAS-1,Q93873,11,0.885,,,,,,,-3.7,OK,
isoflurane,GAS-1,Q93873,14,0.007,,,,,,,-4.4,OK,
isoflurane,GAS-1,Q93873,5,0.358,,,,,,,-4.4,OK,
isoflurane,GLC-1,G5EBR3,19,0.145,,,,,,,-4.3,OK,
isoflurane,GLC-1,G5EBR3,5,0.102,,,,,,,-4.3,OK,
isoflurane,GLC-1,G5EBR3,8,0.306,,,,,,,-4.1,OK,
isoflurane,GLC-2,Q17328,30,0.448,,,,,,,-4.3,OK,
isoflurane,GLC-2,Q17328,6,0.44,,,,,,,-3.9,OK,
isoflurane,GLC-2,Q17328,7,0.322,,,,,,,-4.3,OK,
isoflurane,LEV-1,Q27218,2,0.756,,,,,,,-5.5,OK,
isoflurane,LEV-1,Q27218,3,0.02,,,,,,,-4.4,OK,
isoflurane,LEV-1,Q27218,6,0.037,,,,,,,-3.6,OK,
isoflurane,MEV-1,P41956,10,0.866,,,,,,,-4.1,OK,
isoflurane,MEV-1,P41956,15,0.328,,,,,,,-4.4,OK,
isoflurane,MEV-1,P41956,1,0.792,,,,,,,-4.7,OK,
isoflurane,NCA-2,G5EDM1,171,0.964,,,,,,,-4.6,OK,
isoflurane,NCA-2,G5EDM1,173,0.989,,,,,,,-4.3,OK,
isoflurane,NCA-2,G5EDM1,175,0.944,,,,,,,-4.6,OK,
isoflurane,NLF-1,M4Q8W4,13,0.389,,,,,,,-4.2,OK,
isoflurane,NLF-1,M4Q8W4,14,0.402,,,,,,,-3.9,OK,
isoflurane,NLF-1,M4Q8W4,6,0.265,,,,,,,-3.5,OK,
isoflurane,NUO-1,Q17880,14,0.011,,,,,,,-4.9,OK,
isoflurane,NUO-1,Q17880,18,0.769,,,,,,,-4.9,OK,
isoflurane,NUO-1,Q17880,5,0.012,,,,,,,-4.0,OK,
isoflurane,NUO-2,Q86NC2,14,0.005,,,,,,,-3.8,OK,
isoflurane,NUO-2,Q86NC2,16,0.011,,,,,,,-4.1,OK,
isoflurane,NUO-2,Q86NC2,2,0.106,,,,,,,-5.3,OK,
isoflurane,NUO-3,O18236,1,0.963,,,,,,,-5.4,OK,
isoflurane,NUO-3,O18236,5,0.006,,,,,,,-3.8,OK,
isoflurane,NUO-3,O18236,8,0.002,,,,,,,-4.9,OK,
isoflurane,NUO-4,Q21233,16,0.398,,,,,,,-4.9,OK,
isoflurane,NUO-4,Q21233,1,0.403,,,,,,,-4.8,OK,
isoflurane,NUO-4,Q21233,23,0.224,,,,,,,-4.7,OK,
isoflurane,RIC-4,A5PEW5,3,0.082,,,,,,,-4.0,OK,
isoflurane,RIC-4,A5PEW5,5,0.059,,,,,,,-4.6,OK,
isoflurane,RIC-4,A5PEW5,7,0.054,,,,,,,-4.6,OK,
isoflurane,SNB-1,O02495,1,0.308,,,,,,,-2.9,OK,
isoflurane,SNB-1,O02495,2,0.219,,,,,,,-3.8,OK,
isoflurane,SNB-1,O02495,3,0.549,,,,,,,-3.8,OK,
isoflurane,SNT-1,P34693,10,0.576,,,,,,,-4.1,OK,
isoflurane,SNT-1,P34693,30,0.678,,,,,,,-4.2,OK,
isoflurane,SNT-1,P34693,34,0.172,,,,,,,-4.2,OK,
isoflurane,TWK-18,Q18120,1,0.184,,,,,,,-4.9,OK,
isoflurane,TWK-18,Q18120,31,0.815,,,,,,,-4.6,OK,
isoflurane,TWK-18,Q18120,3,0.058,,,,,,,-4.8,OK,
isoflurane,TWK-29,Q564V7,19,0.908,,,,,,,-4.2,OK,
isoflurane,TWK-29,Q564V7,1,0.409,,,,,,,-5.3,OK,
isoflurane,TWK-29,Q564V7,34,0.106,,,,,,,-4.4,OK,
isoflurane,TWK-7,P34410,17,0.06,,,,,,,-4.2,OK,
isoflurane,TWK-7,P34410,24,0.151,,,,,,,-4.2,OK,
isoflurane,TWK-7,P34410,3,0.165,,,,,,,-5.1,OK,
isoflurane,UNC-13,P27715,140,0.845,,,,,,,-4.4,OK,
isoflurane,UNC-13,P27715,149,0.187,,,,,,,-4.5,OK,
isoflurane,UNC-13,P27715,153,0.201,,,,,,,-4.5,OK,
isoflurane,UNC-18,P34815,12,0.612,,,,,,,-4.8,OK,
isoflurane,UNC-18,P34815,39,0.521,,,,,,,-3.3,OK,
isoflurane,UNC-18,P34815,3,0.315,,,,,,,-5.4,OK,
isoflurane,UNC-29,P48181,1,0.67,,,,,,,-4.8,OK,
isoflurane,UNC-29,P48181,2,0.083,,,,,,,-4.1,OK,
isoflurane,UNC-29,P48181,3,0.027,,,,,,,-4.6,OK,
isoflurane,UNC-38,Q23022,38,0.168,,,,,,,-4.4,OK,
isoflurane,UNC-38,Q23022,3,0.564,,,,,,,-5.0,OK,
isoflurane,UNC-38,Q23022,6,0.201,,,,,,,-4.2,OK,
isoflurane,UNC-49,G5EBQ0,11,0.026,,,,,,,-4.2,OK,
isoflurane,UNC-49,G5EBQ0,13,0.363,,,,,,,-4.1,OK,
isoflurane,UNC-49,G5EBQ0,7,0.574,,,,,,,-4.2,OK,
isoflurane,UNC-63,Q9N587,12,0.644,,,,,,,-4.7,OK,
isoflurane,UNC-63,Q9N587,2,0.339,,,,,,,-5.5,OK,
isoflurane,UNC-63,Q9N587,3,0.513,,,,,,,-4.3,OK,
isoflurane,UNC-64,O16000,15,0.168,,,,,,,-4.4,OK,
isoflurane,UNC-64,O16000,2,0.211,,,,,,,-3.1,OK,
isoflurane,UNC-64,O16000,7,0.156,,,,,,,-3.5,OK,
isoflurane,UNC-79,P42173,17,0.446,,,,,,,-4.6,OK,
isoflurane,UNC-79,P42173,4,0.163,,,,,,,-4.1,OK,
isoflurane,UNC-79,P42173,53,0.664,,,,,,,-4.4,OK,
ketamine,ACR-16,P48180,11,0.7,,,,,,,-5.8,OK,
ketamine,ACR-16,P48180,1,0.518,,,,,,,-5.2,OK,
ketamine,ACR-16,P48180,23,0.033,,,,,,,-5.9,OK,
ketamine,ACR-2,P48182,25,0.879,,,,,,,-6.6,OK,
ketamine,ACR-2,P48182,2,0.125,,,,,,,-5.7,OK,
ketamine,ACR-2,P48182,30,0.025,,,,,,,-6.0,OK,
ketamine,AVR-14,Q8IFY7,1,0.507,,,,,,,-6.4,OK,
ketamine,AVR-14,Q8IFY7,21,0.028,,,,,,,-5.5,OK,
ketamine,AVR-14,Q8IFY7,9,0.056,,,,,,,-3.9,OK,
ketamine,AVR-15,G5ECH3,13,0.917,,,,,,,-6.7,OK,
ketamine,AVR-15,G5ECH3,25,0.728,,,,,,,-6.5,OK,
ketamine,AVR-15,G5ECH3,27,0.226,,,,,,,-6.1,OK,
ketamine,EXP-1,G5ECJ0,2,0.984,,,,,,,-5.8,OK,
ketamine,EXP-1,G5ECJ0,57,0.697,,,,,,,-5.9,OK,
ketamine,EXP-1,G5ECJ0,6,0.823,,,,,,,-5.9,OK,
ketamine,GAS-1,Q93873,11,0.885,,,,,,,-5.1,OK,
ketamine,GAS-1,Q93873,14,0.007,,,,,,,-6.0,OK,
ketamine,GAS-1,Q93873,5,0.358,,,,,,,-5.0,OK,
ketamine,GLC-1,G5EBR3,19,0.145,,,,,,,-5.7,OK,
ketamine,GLC-1,G5EBR3,5,0.102,,,,,,,-5.6,OK,
ketamine,GLC-1,G5EBR3,8,0.306,,,,,,,-5.7,OK,
ketamine,GLC-2,Q17328,30,0.448,,,,,,,-5.9,OK,
ketamine,GLC-2,Q17328,6,0.44,,,,,,,-5.1,OK,
ketamine,GLC-2,Q17328,7,0.322,,,,,,,-5.6,OK,
ketamine,LEV-1,Q27218,2,0.756,,,,,,,-5.3,OK,
ketamine,LEV-1,Q27218,3,0.02,,,,,,,-5.9,OK,
ketamine,LEV-1,Q27218,6,0.037,,,,,,,-5.1,OK,
ketamine,MEV-1,P41956,10,0.866,,,,,,,-5.7,OK,
ketamine,MEV-1,P41956,15,0.328,,,,,,,-6.0,OK,
ketamine,MEV-1,P41956,1,0.792,,,,,,,-6.7,OK,
ketamine,NCA-2,G5EDM1,171,0.964,,,,,,,-6.2,OK,
ketamine,NCA-2,G5EDM1,173,0.989,,,,,,,-5.8,OK,
ketamine,NCA-2,G5EDM1,175,0.944,,,,,,,-5.9,OK,
ketamine,NLF-1,M4Q8W4,13,0.389,,,,,,,-5.8,OK,
ketamine,NLF-1,M4Q8W4,14,0.402,,,,,,,-5.2,OK,
ketamine,NLF-1,M4Q8W4,6,0.265,,,,,,,-5.1,OK,
ketamine,NUO-1,Q17880,14,0.011,,,,,,,-6.9,OK,
ketamine,NUO-1,Q17880,18,0.769,,,,,,,-6.8,OK,
ketamine,NUO-1,Q17880,5,0.012,,,,,,,-5.1,OK,
ketamine,NUO-2,Q86NC2,14,0.005,,,,,,,-5.3,OK,
ketamine,NUO-2,Q86NC2,16,0.011,,,,,,,-5.3,OK,
ketamine,NUO-2,Q86NC2,2,0.106,,,,,,,-7.0,OK,
ketamine,NUO-3,O18236,1,0.963,,,,,,,-7.4,OK,
ketamine,NUO-3,O18236,5,0.006,,,,,,,-4.6,OK,
ketamine,NUO-3,O18236,8,0.002,,,,,,,-7.3,OK,
ketamine,NUO-4,Q21233,16,0.398,,,,,,,-7.5,OK,
ketamine,NUO-4,Q21233,1,0.403,,,,,,,-5.6,OK,
ketamine,NUO-4,Q21233,23,0.224,,,,,,,-5.5,OK,
ketamine,RIC-4,A5PEW5,3,0.082,,,,,,,-5.1,OK,
ketamine,RIC-4,A5PEW5,5,0.059,,,,,,,-5.1,OK,
ketamine,RIC-4,A5PEW5,7,0.054,,,,,,,-5.0,OK,
ketamine,SNB-1,O02495,1,0.308,,,,,,,-3.9,OK,
ketamine,SNB-1,O02495,2,0.219,,,,,,,-4.9,OK,
ketamine,SNB-1,O02495,3,0.549,,,,,,,-4.9,OK,
ketamine,SNT-1,P34693,10,0.576,,,,,,,-5.5,OK,
ketamine,SNT-1,P34693,30,0.678,,,,,,,-5.5,OK,
ketamine,SNT-1,P34693,34,0.172,,,,,,,-5.4,OK,
ketamine,TWK-18,Q18120,1,0.184,,,,,,,-6.9,OK,
ketamine,TWK-18,Q18120,31,0.815,,,,,,,-5.2,OK,
ketamine,TWK-18,Q18120,3,0.058,,,,,,,-5.4,OK,
ketamine,TWK-29,Q564V7,19,0.908,,,,,,,-6.2,OK,
ketamine,TWK-29,Q564V7,1,0.409,,,,,,,-4.9,OK,
ketamine,TWK-29,Q564V7,34,0.106,,,,,,,-5.6,OK,
ketamine,TWK-7,P34410,17,0.06,,,,,,,-5.4,OK,
ketamine,TWK-7,P34410,24,0.151,,,,,,,-5.3,OK,
ketamine,TWK-7,P34410,3,0.165,,,,,,,-5.4,OK,
ketamine,UNC-13,P27715,140,0.845,,,,,,,-6.3,OK,
ketamine,UNC-13,P27715,149,0.187,,,,,,,-6.5,OK,
ketamine,UNC-13,P27715,153,0.201,,,,,,,-6.3,OK,
ketamine,UNC-18,P34815,12,0.612,,,,,,,-7.3,OK,
ketamine,UNC-18,P34815,39,0.521,,,,,,,-5.1,OK,
ketamine,UNC-18,P34815,3,0.315,,,,,,,-6.0,OK,
ketamine,UNC-29,P48181,1,0.67,,,,,,,-4.6,OK,
ketamine,UNC-29,P48181,2,0.083,,,,,,,-5.1,OK,
ketamine,UNC-29,P48181,3,0.027,,,,,,,-5.6,OK,
ketamine,UNC-38,Q23022,38,0.168,,,,,,,-5.4,OK,
ketamine,UNC-38,Q23022,3,0.564,,,,,,,-6.0,OK,
ketamine,UNC-38,Q23022,6,0.201,,,,,,,-4.9,OK,
ketamine,UNC-49,G5EBQ0,11,0.026,,,,,,,-5.6,OK,
ketamine,UNC-49,G5EBQ0,13,0.363,,,,,,,-6.1,OK,
ketamine,UNC-49,G5EBQ0,7,0.574,,,,,,,-5.7,OK,
ketamine,UNC-63,Q9N587,12,0.644,,,,,,,-6.2,OK,
ketamine,UNC-63,Q9N587,2,0.339,,,,,,,-4.9,OK,
ketamine,UNC-63,Q9N587,3,0.513,,,,,,,-5.5,OK,
ketamine,UNC-64,O16000,15,0.168,,,,,,,-5.7,OK,
ketamine,UNC-64,O16000,2,0.211,,,,,,,-3.9,OK,
ketamine,UNC-64,O16000,7,0.156,,,,,,,-4.2,OK,
ketamine,UNC-79,P42173,17,0.446,,,,,,,-5.6,OK,
ketamine,UNC-79,P42173,4,0.163,,,,,,,-4.8,OK,
ketamine,UNC-79,P42173,53,0.664,,,,,,,-6.4,OK,
propofol,ACR-16,P48180,11,0.7,,,,,,,-6.0,OK,
propofol,ACR-16,P48180,1,0.518,,,,,,,-4.8,OK,
propofol,ACR-16,P48180,23,0.033,,,,,,,-5.3,OK,
propofol,ACR-2,P48182,25,0.879,,,,,,,-6.2,OK,
propofol,ACR-2,P48182,2,0.125,,,,,,,-5.2,OK,
propofol,ACR-2,P48182,30,0.025,,,,,,,-5.3,OK,
propofol,AVR-14,Q8IFY7,1,0.507,,,,,,,-6.6,OK,
propofol,AVR-14,Q8IFY7,21,0.028,,,,,,,-6.3,OK,
propofol,AVR-14,Q8IFY7,9,0.056,,,,,,,-3.9,OK,
propofol,AVR-15,G5ECH3,13,0.917,,,,,,,-6.1,OK,
