anesthetic,gene,uniprot_acc,best_pocket_id,best_pocket_druggability,best_affinity_kcal_per_mol,predicted_Kd_uM,ec50_clinical_aqueous_uM,Kp_oil_water,pocket_compartment,occupancy_0.5xEC50,occupancy_1.0xEC50,occupancy_2.0xEC50,occupancy_5.0xEC50
isoflurane,GLC-2,Q17328,30,0.448,-4.30,702.2,290.0,90,membrane_embedded,0.949,0.974,0.987,0.995
isoflurane,LEV-1,Q27218,2,0.756,-5.50,92.56,290.0,90,membrane_embedded,0.993,0.996,0.998,0.999
isoflurane,MEV-1,P41956,1,0.792,-4.70,357.4,290.0,90,membrane_embedded,0.973,0.986,0.993,0.997
isoflurane,NCA-2,G5EDM1,171,0.964,-4.60,423.1,290.0,90,membrane_embedded,0.969,0.984,0.992,0.997
isoflurane,NLF-1,M4Q8W4,13,0.389,-4.20,831.4,290.0,90,membrane_embedded,0.940,0.969,0.984,0.994
isoflurane,NUO-1,Q17880,14,0.011,-4.90,255,290.0,90,membrane_embedded,0.981,0.990,0.995,0.998
isoflurane,NUO-2,Q86NC2,2,0.106,-5.30,129.8,290.0,90,membrane_embedded,0.990,0.995,0.998,0.999
isoflurane,NUO-3,O18236,1,0.963,-5.40,109.6,290.0,90,membrane_embedded,0.992,0.996,0.998,0.999
isoflurane,NUO-4,Q21233,16,0.398,-4.90,255,290.0,90,membrane_embedded,0.981,0.990,0.995,0.998
isoflurane,RIC-4,A5PEW5,5,0.059,-4.60,423.1,290.0,90,membrane_interfacial,0.255,0.407,0.578,0.774
isoflurane,SNB-1,O02495,2,0.219,-3.80,1634,290.0,90,membrane_embedded,0.889,0.941,0.970,0.988
isoflurane,SNT-1,P34693,30,0.678,-4.20,831.4,290.0,90,membrane_interfacial,0.148,0.259,0.411,0.636
isoflurane,TWK-18,Q18120,1,0.184,-4.90,255,290.0,90,membrane_embedded,0.981,0.990,0.995,0.998
isoflurane,TWK-29,Q564V7,1,0.409,-5.30,129.8,290.0,90,membrane_embedded,0.990,0.995,0.998,0.999
isoflurane,TWK-7,P34410,3,0.165,-5.10,181.9,290.0,90,membrane_embedded,0.986,0.993,0.997,0.999
isoflurane,UNC-13,P27715,149,0.187,-4.50,501,290.0,90,aqueous_intracellular,0.224,0.367,0.537,0.743
isoflurane,UNC-18,P34815,3,0.315,-5.40,109.6,290.0,90,aqueous_intracellular,0.570,0.726,0.841,0.930
isoflurane,UNC-29,P48181,1,0.670,-4.80,301.9,290.0,90,membrane_embedded,0.977,0.989,0.994,0.998
isoflurane,UNC-38,Q23022,3,0.564,-5.00,215.3,290.0,90,membrane_embedded,0.984,0.992,0.996,0.998
isoflurane,UNC-49,G5EBQ0,11,0.026,-4.20,831.4,290.0,90,membrane_embedded,0.940,0.969,0.984,0.994
isoflurane,UNC-63,Q9N587,2,0.339,-5.50,92.56,290.0,90,membrane_embedded,0.993,0.996,0.998,0.999
isoflurane,UNC-64,O16000,15,0.168,-4.40,593.1,290.0,90,membrane_embedded,0.957,0.978,0.989,0.995
isoflurane,UNC-79,P42173,17,0.446,-4.60,423.1,290.0,90,membrane_embedded,0.969,0.984,0.992,0.997
ketamine,ACR-16,P48180,23,0.033,-5.90,47.11,5000.0,10,membrane_embedded,0.998,0.999,1.000,1.000
ketamine,ACR-2,P48182,25,0.879,-6.60,14.45,5000.0,10,membrane_embedded,0.999,1.000,1.000,1.000
ketamine,AVR-14,Q8IFY7,1,0.507,-6.40,20.25,5000.0,10,membrane_embedded,0.999,1.000,1.000,1.000
ketamine,AVR-15,G5ECH3,13,0.917,-6.70,12.2,5000.0,10,membrane_embedded,1.000,1.000,1.000,1.000
ketamine,EXP-1,G5ECJ0,57,0.697,-5.90,47.11,5000.0,10,membrane_embedded,0.998,0.999,1.000,1.000
ketamine,GAS-1,Q93873,14,0.007,-6.00,39.79,5000.0,10,membrane_embedded,0.998,0.999,1.000,1.000
ketamine,GLC-1,G5EBR3,19,0.145,-5.70,66.03,5000.0,10,membrane_embedded,0.997,0.999,0.999,1.000
ketamine,GLC-2,Q17328,30,0.448,-5.90,47.11,5000.0,10,membrane_embedded,0.998,0.999,1.000,1.000
ketamine,LEV-1,Q27218,3,0.020,-5.90,47.11,5000.0,10,membrane_embedded,0.998,0.999,1.000,1.000
ketamine,MEV-1,P41956,1,0.792,-6.70,12.2,5000.0,10,membrane_embedded,1.000,1.000,1.000,1.000
ketamine,NCA-2,G5EDM1,171,0.964,-6.20,28.38,5000.0,10,membrane_embedded,0.999,0.999,1.000,1.000
ketamine,NLF-1,M4Q8W4,13,0.389,-5.80,55.77,5000.0,10,membrane_embedded,0.998,0.999,0.999,1.000
ketamine,NUO-1,Q17880,14,0.011,-6.90,8.704,5000.0,10,membrane_embedded,1.000,1.000,1.000,1.000
ketamine,NUO-2,Q86NC2,2,0.106,-7.00,7.352,5000.0,10,membrane_embedded,1.000,1.000,1.000,1.000
ketamine,NUO-3,O18236,1,0.963,-7.40,3.741,5000.0,10,membrane_embedded,1.000,1.000,1.000,1.000
ketamine,NUO-4,Q21233,16,0.398,-7.50,3.16,5000.0,10,membrane_embedded,1.000,1.000,1.000,1.000
ketamine,RIC-4,A5PEW5,3,0.082,-5.10,181.9,5000.0,10,membrane_interfacial,0.932,0.965,0.982,0.993
ketamine,SNB-1,O02495,2,0.219,-4.90,255,5000.0,10,membrane_embedded,0.990,0.995,0.997,0.999
ketamine,SNT-1,P34693,10,0.576,-5.50,92.56,5000.0,10,membrane_interfacial,0.964,0.982,0.991,0.996
ketamine,TWK-18,Q18120,1,0.184,-6.90,8.704,5000.0,10,membrane_embedded,1.000,1.000,1.000,1.000
ketamine,TWK-29,Q564V7,19,0.908,-6.20,28.38,5000.0,10,membrane_embedded,0.999,0.999,1.000,1.000
ketamine,TWK-7,P34410,17,0.060,-5.40,109.6,5000.0,10,membrane_embedded,0.996,0.998,0.999,1.000
ketamine,UNC-13,P27715,149,0.187,-6.50,17.1,5000.0,10,aqueous_intracellular,0.993,0.997,0.998,0.999
ketamine,UNC-18,P34815,12,0.612,-7.30,4.43,5000.0,10,aqueous_intracellular,0.998,0.999,1.000,1.000
ketamine,UNC-29,P48181,3,0.027,-5.60,78.18,5000.0,10,membrane_embedded,0.997,0.998,0.999,1.000
ketamine,UNC-38,Q23022,3,0.564,-6.00,39.79,5000.0,10,membrane_embedded,0.998,0.999,1.000,1.000
ketamine,UNC-49,G5EBQ0,13,0.363,-6.10,33.61,5000.0,10,membrane_embedded,0.999,0.999,1.000,1.000
ketamine,UNC-63,Q9N587,12,0.644,-6.20,28.38,5000.0,10,membrane_embedded,0.999,0.999,1.000,1.000
ketamine,UNC-64,O16000,15,0.168,-5.70,66.03,5000.0,10,membrane_embedded,0.997,0.999,0.999,1.000
ketamine,UNC-79,P42173,53,0.664,-6.40,20.25,5000.0,10,membrane_embedded,0.999,1.000,1.000,1.000
propofol,ACR-16,P48180,11,0.700,-6.00,39.79,1.0,1300,membrane_embedded,0.942,0.970,0.985,0.994
propofol,ACR-2,P48182,25,0.879,-6.20,28.38,1.0,1300,membrane_embedded,0.958,0.979,0.989,0.996
propofol,AVR-14,Q8IFY7,1,0.507,-6.60,14.45,1.0,1300,membrane_embedded,0.978,0.989,0.994,0.998
propofol,AVR-15,G5ECH3,25,0.728,-6.90,8.704,1.0,1300,membrane_embedded,0.987,0.993,0.997,0.999
propofol,EXP-1,G5ECJ0,2,0.984,-5.20,153.6,1.0,1300,membrane_embedded,0.809,0.894,0.944,0.977
propofol,GAS-1,Q93873,5,0.358,-5.40,109.6,1.0,1300,membrane_embedded,0.856,0.922,0.960,0.983
propofol,GLC-1,G5EBR3,5,0.102,-5.40,109.6,1.0,1300,membrane_embedded,0.856,0.922,0.960,0.983
propofol,GLC-2,Q17328,6,0.440,-5.00,215.3,1.0,1300,membrane_embedded,0.751,0.858,0.924,0.968
propofol,LEV-1,Q27218,2,0.756,-5.60,78.18,1.0,1300,membrane_embedded,0.893,0.943,0.971,0.988
propofol,MEV-1,P41956,1,0.792,-5.90,47.11,1.0,1300,membrane_embedded,0.932,0.965,0.982,0.993
propofol,NCA-2,G5EDM1,175,0.944,-5.70,66.03,1.0,1300,membrane_embedded,0.908,0.952,0.975,0.990
propofol,NLF-1,M4Q8W4,13,0.389,-5.30,129.8,1.0,1300,membrane_embedded,0.834,0.909,0.952,0.980
propofol,NUO-1,Q17880,14,0.011,-6.50,17.1,1.0,1300,membrane_embedded,0.974,0.987,0.993,0.997
propofol,NUO-2,Q86NC2,2,0.106,-6.20,28.38,1.0,1300,membrane_embedded,0.958,0.979,0.989,0.996
propofol,NUO-3,O18236,1,0.963,-7.70,2.254,1.0,1300,membrane_embedded,0.997,0.998,0.999,1.000
propofol,NUO-4,Q21233,16,0.398,-5.80,55.77,1.0,1300,membrane_embedded,0.921,0.959,0.979,0.991
propofol,RIC-4,A5PEW5,7,0.054,-5.40,109.6,1.0,1300,membrane_interfacial,0.005,0.009,0.018,0.044
propofol,SNB-1,O02495,2,0.219,-4.70,357.4,1.0,1300,membrane_embedded,0.645,0.784,0.879,0.948
propofol,SNT-1,P34693,30,0.678,-5.40,109.6,1.0,1300,membrane_interfacial,0.005,0.009,0.018,0.044
propofol,TWK-18,Q18120,1,0.184,-6.00,39.79,1.0,1300,membrane_embedded,0.942,0.970,0.985,0.994
propofol,TWK-29,Q564V7,19,0.908,-6.00,39.79,1.0,1300,membrane_embedded,0.942,0.970,0.985,0.994
propofol,TWK-7,P34410,3,0.165,-6.60,14.45,1.0,1300,membrane_embedded,0.978,0.989,0.994,0.998
propofol,UNC-13,P27715,140,0.845,-5.50,92.56,1.0,1300,aqueous_intracellular,0.005,0.011,0.021,0.051
propofol,UNC-18,P34815,12,0.612,-6.00,39.79,1.0,1300,aqueous_intracellular,0.012,0.025,0.048,0.112
propofol,UNC-29,P48181,2,0.083,-5.50,92.56,1.0,1300,membrane_embedded,0.875,0.934,0.966,0.986
propofol,UNC-38,Q23022,3,0.564,-5.60,78.18,1.0,1300,membrane_embedded,0.893,0.943,0.971,0.988
propofol,UNC-49,G5EBQ0,7,0.574,-5.70,66.03,1.0,1300,membrane_embedded,0.908,0.952,0.975,0.990
propofol,UNC-63,Q9N587,12,0.644,-5.30,129.8,1.0,1300,membrane_embedded,0.834,0.909,0.952,0.980
propofol,UNC-64,O16000,15,0.168,-5.10,181.9,1.0,1300,membrane_embedded,0.781,0.877,0.935,0.973
propofol,UNC-79,P42173,17,0.446,-5.60,78.18,1.0,1300,membrane_embedded,0.893,0.943,0.971,0.988
sevoflurane,ACR-16,P48180,1,0.518,-6.00,39.79,230.0,50,membrane_embedded,0.993,0.997,0.998,0.999
sevoflurane,ACR-2,P48182,2,0.125,-5.20,153.6,230.0,50,membrane_embedded,0.974,0.987,0.993,0.997
sevoflurane,AVR-14,Q8IFY7,1,0.507,-5.50,92.56,230.0,50,membrane_embedded,0.984,0.992,0.996,0.998
sevoflurane,AVR-15,G5ECH3,25,0.728,-5.90,47.11,230.0,50,membrane_embedded,0.992,0.996,0.998,0.999
sevoflurane,EXP-1,G5ECJ0,6,0.823,-4.70,357.4,230.0,50,membrane_embedded,0.941,0.970,0.985,0.994
sevoflurane,GAS-1,Q93873,14,0.007,-4.60,423.1,230.0,50,membrane_embedded,0.931,0.965,0.982,0.993
sevoflurane,GLC-1,G5EBR3,19,0.145,-4.60,423.1,230.0,50,membrane_embedded,0.931,0.965,0.982,0.993
sevoflurane,GLC-2,Q17328,7,0.322,-5.00,215.3,230.0,50,membrane_embedded,0.964,0.982,0.991,0.996
sevoflurane,LEV-1,Q27218,2,0.756,-5.60,78.18,230.0,50,membrane_embedded,0.987,0.993,0.997,0.999
sevoflurane,MEV-1,P41956,1,0.792,-4.70,357.4,230.0,50,membrane_embedded,0.941,0.970,0.985,0.994
sevoflurane,NCA-2,G5EDM1,175,0.944,-4.90,255,230.0,50,membrane_embedded,0.958,0.978,0.989,0.996
sevoflurane,NLF-1,M4Q8W4,13,0.389,-4.30,702.2,230.0,50,membrane_embedded,0.891,0.942,0.970,0.988
sevoflurane,NUO-1,Q17880,18,0.769,-5.20,153.6,230.0,50,membrane_embedded,0.974,0.987,0.993,0.997
sevoflurane,NUO-2,Q86NC2,2,0.106,-5.20,153.6,230.0,50,membrane_embedded,0.974,0.987,0.993,0.997
sevoflurane,NUO-3,O18236,1,0.963,-5.80,55.77,230.0,50,membrane_embedded,0.990,0.995,0.998,0.999
sevoflurane,NUO-4,Q21233,1,0.403,-5.20,153.6,230.0,50,membrane_embedded,0.974,0.987,0.993,0.997
sevoflurane,RIC-4,A5PEW5,5,0.059,-4.80,301.9,230.0,50,membrane_interfacial,0.276,0.432,0.604,0.792
sevoflurane,SNB-1,O02495,2,0.219,-3.90,1380,230.0,50,membrane_embedded,0.806,0.893,0.943,0.977
sevoflurane,SNT-1,P34693,10,0.576,-4.40,593.1,230.0,50,membrane_interfacial,0.162,0.279,0.437,0.660
sevoflurane,TWK-18,Q18120,1,0.184,-4.90,255,230.0,50,membrane_embedded,0.958,0.978,0.989,0.996
sevoflurane,TWK-29,Q564V7,1,0.409,-5.30,129.8,230.0,50,membrane_embedded,0.978,0.989,0.994,0.998
sevoflurane,TWK-7,P34410,3,0.165,-5.30,129.8,230.0,50,membrane_embedded,0.978,0.989,0.994,0.998
sevoflurane,UNC-13,P27715,140,0.845,-4.80,301.9,230.0,50,aqueous_intracellular,0.276,0.432,0.604,0.792
sevoflurane,UNC-18,P34815,3,0.315,-6.10,33.61,230.0,50,aqueous_intracellular,0.774,0.873,0.932,0.972
sevoflurane,UNC-29,P48181,3,0.027,-4.70,357.4,230.0,50,membrane_embedded,0.941,0.970,0.985,0.994
sevoflurane,UNC-38,Q23022,3,0.564,-5.20,153.6,230.0,50,membrane_embedded,0.974,0.987,0.993,0.997
sevoflurane,UNC-49,G5EBQ0,13,0.363,-4.60,423.1,230.0,50,membrane_embedded,0.931,0.965,0.982,0.993
sevoflurane,UNC-63,Q9N587,2,0.339,-5.70,66.03,230.0,50,membrane_embedded,0.989,0.994,0.997,0.999
sevoflurane,UNC-64,O16000,15,0.168,-4.60,423.1,230.0,50,membrane_embedded,0.931,0.965,0.982,0.993
sevoflurane,UNC-79,P42173,53,0.664,-4.70,357.4,230.0,50,membrane_embedded,0.941,0.970,0.985,0.994
