gene_acc,pocket_id,rank,score,druggability_score,n_alpha_spheres,volume,hydrophobicity_score,polarity_score,mean_local_hydrophobic_density,status
GLC-1_G5EBR3,19,2,0.073,0.145,50.0,,16.857,5.0,26.867,OK
GLC-1_G5EBR3,5,3,0.166,0.102,32.0,,17.0,9.0,20.364,OK
GLC-1_G5EBR3,2,4,0.205,0.052,30.0,,43.556,5.0,20.0,OK
GLC-1_G5EBR3,14,5,0.107,0.052,38.0,,33.333,3.0,18.0,OK
GLC-2_Q17328,30,1,-0.035,0.448,23.0,,66.5,2.0,22.0,OK
GLC-2_Q17328,6,2,0.081,0.44,26.0,,15.857,4.0,22.75,OK
GLC-2_Q17328,7,3,0.068,0.322,37.0,,15.3,7.0,21.478,OK
GLC-2_Q17328,1,4,0.207,0.3,73.0,,8.2,8.0,24.214,OK
GLC-2_Q17328,5,5,0.092,0.131,54.0,,44.167,9.0,17.3,OK
LEV-1_Q27218,2,1,0.225,0.756,54.0,,61.267,4.0,52.222,OK
LEV-1_Q27218,6,2,0.123,0.037,30.0,,50.833,2.0,20.783,OK
LEV-1_Q27218,3,3,0.151,0.02,52.0,,-7.25,9.0,22.148,OK
LEV-1_Q27218,9,4,0.12,0.014,22.0,,52.545,5.0,16.0,OK
LEV-1_Q27218,10,5,0.119,0.007,15.0,,68.8,1.0,11.385,OK
MEV-1_P41956,10,1,-0.074,0.866,84.0,,39.812,9.0,39.472,OK
MEV-1_P41956,1,2,0.131,0.792,41.0,,62.455,2.0,32.85,OK
MEV-1_P41956,15,3,-0.196,0.328,39.0,,63.875,1.0,33.0,OK
MEV-1_P41956,2,4,0.121,0.114,35.0,,74.0,1.0,20.37,OK
MEV-1_P41956,11,5,-0.076,0.071,27.0,,85.25,0.0,26.0,OK
NCA-2_G5EDM1,173,1,-0.728,0.989,105.0,,55.238,5.0,51.415,OK
NCA-2_G5EDM1,171,2,-0.544,0.964,98.0,,57.667,9.0,43.62,OK
NCA-2_G5EDM1,175,3,-0.971,0.944,115.0,,53.591,5.0,53.117,OK
NCA-2_G5EDM1,145,4,-0.226,0.869,83.0,,58.2,4.0,43.246,OK
NCA-2_G5EDM1,130,5,-0.186,0.778,85.0,,56.65,4.0,41.061,OK
NLF-1_M4Q8W4,14,1,0.026,0.402,24.0,,67.25,1.0,21.0,OK
NLF-1_M4Q8W4,13,2,0.041,0.389,115.0,,37.24,11.0,21.907,OK
NLF-1_M4Q8W4,6,3,0.088,0.265,23.0,,78.833,1.0,17.3,OK
NLF-1_M4Q8W4,9,4,0.074,0.211,51.0,,10.5,9.0,18.545,OK
NLF-1_M4Q8W4,32,5,-0.054,0.097,21.0,,73.0,1.0,18.0,OK
NUO-1_Q17880,18,1,-0.231,0.769,78.0,,15.923,7.0,54.459,OK
NUO-1_Q17880,5,2,-0.029,0.012,27.0,,48.3,3.0,19.905,OK
NUO-1_Q17880,14,3,-0.097,0.011,180.0,,17.571,28.0,22.423,OK
NUO-1_Q17880,3,4,0.006,0.005,41.0,,17.1,3.0,19.0,OK
NUO-1_Q17880,17,5,-0.181,0.004,27.0,,9.143,3.0,16.0,OK
NUO-2_Q86NC2,2,1,0.179,0.106,53.0,,31.3,5.0,38.049,OK
NUO-2_Q86NC2,16,2,0.01,0.011,29.0,,27.889,6.0,12.5,OK
NUO-2_Q86NC2,14,3,0.024,0.005,15.0,,72.4,2.0,11.0,OK
NUO-2_Q86NC2,1,4,0.188,0.003,61.0,,17.0,8.0,19.905,OK
NUO-2_Q86NC2,3,5,0.147,0.003,40.0,,2.273,10.0,9.0,OK
NUO-3_O18236,1,1,0.188,0.963,186.0,,49.296,11.0,64.424,OK
NUO-3_O18236,5,2,-0.064,0.006,34.0,,20.5,3.0,20.0,OK
NUO-3_O18236,8,3,-0.166,0.002,15.0,,46.571,3.0,14.0,OK
NUO-3_O18236,3,4,0.02,0.001,15.0,,35.0,2.0,6.0,OK
NUO-3_O18236,4,5,0.013,0.001,16.0,,-10.75,4.0,7.0,OK
NUO-4_Q21233,1,1,0.078,0.403,44.0,,43.235,10.0,19.429,OK
NUO-4_Q21233,16,2,-0.051,0.398,87.0,,30.13,13.0,28.909,OK
NUO-4_Q21233,23,3,-0.09,0.224,47.0,,17.778,5.0,22.5,OK
NUO-4_Q21233,18,4,-0.072,0.075,31.0,,32.556,4.0,18.0,OK
NUO-4_Q21233,6,5,0.053,0.006,35.0,,20.125,3.0,11.0,OK
RIC-4_A5PEW5,3,1,0.175,0.082,35.0,,37.333,6.0,8.714,OK
RIC-4_A5PEW5,5,2,0.058,0.059,53.0,,-3.75,10.0,22.25,OK
RIC-4_A5PEW5,7,3,0.032,0.054,18.0,,47.111,2.0,12.571,OK
RIC-4_A5PEW5,9,4,0.021,0.013,15.0,,24.375,4.0,8.545,OK
RIC-4_A5PEW5,11,5,-0.001,0.004,35.0,,3.364,9.0,8.0,OK
SNB-1_O02495,3,1,0.415,0.549,18.0,,19.0,5.0,14.875,OK
SNB-1_O02495,1,2,0.51,0.308,19.0,,41.333,2.0,11.067,OK
SNB-1_O02495,2,3,0.427,0.219,19.0,,18.25,4.0,13.0,OK
SNB-1_O02495,4,4,0.411,0.036,18.0,,24.2,3.0,10.0,OK
SNB-1_O02495,8,5,0.287,0.009,16.0,,25.6,2.0,7.0,OK
SNT-1_P34693,30,1,-0.071,0.678,47.0,,30.417,5.0,29.939,OK
SNT-1_P34693,10,2,0.036,0.576,26.0,,47.714,2.0,16.0,OK
SNT-1_P34693,34,3,-0.194,0.172,36.0,,28.125,4.0,27.0,OK
SNT-1_P34693,7,4,0.051,0.148,36.0,,38.667,4.0,26.286,OK
SNT-1_P34693,5,5,0.059,0.048,100.0,,-5.3,14.0,31.524,OK
TWK-18_Q18120,31,1,-0.139,0.815,151.0,,43.32,10.0,46.99,OK
TWK-18_Q18120,1,2,0.129,0.184,47.0,,24.769,7.0,29.25,OK
TWK-18_Q18120,3,3,0.045,0.058,46.0,,19.0,7.0,16.16,OK
TWK-18_Q18120,14,4,-0.046,0.025,47.0,,46.562,9.0,18.75,OK
TWK-18_Q18120,27,5,-0.111,0.015,23.0,,79.875,1.0,20.0,OK
TWK-29_Q564V7,19,1,0.005,0.908,68.0,,56.214,5.0,45.172,OK
TWK-29_Q564V7,1,2,0.46,0.409,73.0,,49.471,6.0,30.957,OK
TWK-29_Q564V7,34,3,-0.19,0.106,44.0,,64.833,2.0,25.484,OK
TWK-29_Q564V7,5,4,0.077,0.038,24.0,,55.125,1.0,11.0,OK
TWK-29_Q564V7,12,5,0.023,0.022,26.0,,31.0,6.0,20.0,OK
TWK-7_P34410,3,1,0.08,0.165,47.0,,56.462,5.0,34.944,OK
TWK-7_P34410,24,2,-0.05,0.151,40.0,,71.1,2.0,31.091,OK
TWK-7_P34410,17,3,-0.035,0.06,34.0,,43.5,3.0,27.0,OK
TWK-7_P34410,8,4,0.012,0.053,37.0,,83.556,2.0,28.0,OK
TWK-7_P34410,37,5,-0.082,0.041,81.0,,16.125,10.0,32.038,OK
UNC-13_P27715,140,1,-0.27,0.845,102.0,,23.045,10.0,36.958,OK
UNC-13_P27715,153,2,-0.587,0.201,75.0,,43.143,4.0,30.326,OK
UNC-13_P27715,149,3,-0.458,0.187,80.0,,20.429,9.0,39.156,OK
UNC-13_P27715,150,4,-0.525,0.119,43.0,,27.273,5.0,29.226,OK
UNC-13_P27715,129,5,-0.204,0.104,257.0,,13.404,28.0,32.814,OK
UNC-18_P34815,12,1,0.048,0.612,57.0,,26.0,11.0,24.143,OK
UNC-18_P34815,39,2,-0.126,0.521,52.0,,6.667,6.0,24.444,OK
UNC-18_P34815,3,3,0.154,0.315,128.0,,19.16,19.0,19.588,OK
UNC-18_P34815,6,4,0.11,0.147,51.0,,43.182,4.0,14.588,OK
UNC-18_P34815,1,5,0.194,0.068,87.0,,17.043,18.0,10.4,OK
UNC-29_P48181,1,1,0.439,0.67,52.0,,66.143,3.0,45.745,OK
UNC-29_P48181,2,2,0.284,0.083,67.0,,30.857,7.0,25.333,OK
UNC-29_P48181,3,3,0.268,0.027,60.0,,20.846,9.0,26.229,OK
UNC-29_P48181,8,4,0.146,0.016,38.0,,5.833,4.0,23.407,OK
UNC-29_P48181,19,5,0.031,0.012,25.0,,55.167,3.0,16.889,OK
UNC-38_Q23022,3,1,0.127,0.564,54.0,,51.571,5.0,46.0,OK
UNC-38_Q23022,6,2,0.101,0.201,60.0,,24.231,7.0,24.903,OK
UNC-38_Q23022,38,3,-0.046,0.168,55.0,,35.5,6.0,26.171,OK
UNC-38_Q23022,13,4,0.039,0.162,35.0,,76.875,2.0,27.097,OK
UNC-38_Q23022,40,5,-0.047,0.048,35.0,,27.667,5.0,32.765,OK
UNC-49_G5EBQ0,7,1,0.149,0.574,45.0,,50.0,6.0,25.778,OK
UNC-49_G5EBQ0,13,2,0.082,0.363,50.0,,26.778,5.0,40.93,OK
UNC-49_G5EBQ0,11,3,0.098,0.026,33.0,,23.667,7.0,19.0,OK
UNC-49_G5EBQ0,1,4,0.271,0.016,38.0,,13.0,8.0,9.75,OK
UNC-49_G5EBQ0,32,5,-0.002,0.016,18.0,,58.6,1.0,16.0,OK
UNC-63_Q9N587,12,1,0.115,0.644,38.0,,56.857,4.0,33.486,OK
UNC-63_Q9N587,3,2,0.22,0.513,52.0,,29.714,7.0,22.929,OK
UNC-63_Q9N587,2,3,0.263,0.339,34.0,,78.6,1.0,31.0,OK
UNC-63_Q9N587,1,4,0.27,0.303,58.0,,43.538,7.0,29.381,OK
UNC-63_Q9N587,8,5,0.122,0.083,49.0,,13.583,11.0,18.783,OK
UNC-64_O16000,2,1,0.232,0.211,20.0,,58.0,1.0,13.647,OK
UNC-64_O16000,15,2,-0.008,0.168,29.0,,35.222,4.0,18.0,OK
UNC-64_O16000,7,3,0.071,0.156,18.0,,80.0,1.0,15.0,OK
UNC-64_O16000,3,4,0.225,0.089,39.0,,41.583,5.0,14.875,OK
UNC-64_O16000,12,5,0.016,0.056,21.0,,9.5,4.0,16.0,OK
UNC-79_P42173,53,1,-0.056,0.664,42.0,,17.667,5.0,30.545,OK
UNC-79_P42173,17,2,0.047,0.446,35.0,,66.429,2.0,28.933,OK
UNC-79_P42173,4,3,0.102,0.163,26.0,,31.25,3.0,20.696,OK
UNC-79_P42173,72,4,-0.131,0.101,39.0,,43.7,4.0,18.8,OK
UNC-79_P42173,47,5,-0.048,0.082,27.0,,36.1,4.0,22.0,OK
