volatile,gene,dose,block,geno_pa,total_pa,realized_dI_pA,predicted_dI_pA,err_blockI_pA,nonuniform_I_pA,wsyn,snare_factor,R_mult,R_add,realized_synaptic_ratio,err_blockS,nonuniform_S
halothane,ndus-8,1000.0,I,-3.25,-23.2015584829008,-26.4515584829008,-26.4515584829008,0.0,0.0,1.0,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.0,1.1102230246251565e-16
halothane,nuo-1,100.0,I,-3.25,-7.766347057794967,-11.016347057794968,-11.016347057794967,1.7763568394002505e-15,1.7763568394002505e-15,1.0,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,1.1102230246251565e-16,2.220446049250313e-16
halothane,nuo-1,340.0,I,-3.25,-16.21418315492261,-19.464183154922605,-19.46418315492261,3.552713678800501e-15,0.0,1.0,0.75,0.75,0.75,0.75,0.0,0.0
halothane,nuo-1,1000.0,I,-3.25,-23.2015584829008,-26.4515584829008,-26.4515584829008,0.0,0.0,1.0,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.0,1.1102230246251565e-16
halothane,unc-79,100.0,I,-3.705,-7.766347057794967,-11.47134705779497,-11.471347057794967,3.552713678800501e-15,3.552713678800501e-15,1.0,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,1.1102230246251565e-16,2.220446049250313e-16
halothane,unc-79,340.0,I,-3.705,-16.21418315492261,-19.91918315492261,-19.919183154922607,3.552713678800501e-15,3.552713678800501e-15,1.0,0.75,0.75,0.75,0.75,0.0,0.0
halothane,unc-79,1000.0,I,-3.705,-23.2015584829008,-26.906558482900802,-26.9065584829008,3.552713678800501e-15,0.0,1.0,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.0,1.1102230246251565e-16
halothane,unc-80,100.0,I,-3.705,-7.766347057794967,-11.47134705779497,-11.471347057794967,3.552713678800501e-15,3.552713678800501e-15,1.0,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,1.1102230246251565e-16,2.220446049250313e-16
halothane,unc-80,340.0,I,-3.705,-16.21418315492261,-19.91918315492261,-19.919183154922607,3.552713678800501e-15,3.552713678800501e-15,1.0,0.75,0.75,0.75,0.75,0.0,0.0
halothane,unc-80,1000.0,I,-3.705,-23.2015584829008,-26.906558482900802,-26.9065584829008,3.552713678800501e-15,0.0,1.0,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.0,1.1102230246251565e-16
halothane,goa-1,100.0,S,0.0,-7.766347057794967,-7.766347057794968,-7.766347057794967,8.881784197001252e-16,8.881784197001252e-16,1.5,0.8863636363636364,1.3295454545454546,1.3863636363636362,1.3295454545454548,2.220446049250313e-16,4.440892098500626e-16
halothane,goa-1,340.0,S,0.0,-16.21418315492261,-16.214183154922612,-16.21418315492261,3.552713678800501e-15,3.552713678800501e-15,1.5,0.75,1.125,1.25,1.125,0.0,0.0
halothane,goa-1,1000.0,S,0.0,-23.2015584829008,-23.201558482900793,-23.2015584829008,7.105427357601002e-15,7.105427357601002e-15,1.5,0.6268656716417911,0.9402985074626866,1.126865671641791,0.9402985074626867,1.1102230246251565e-16,2.220446049250313e-16
halothane,dgk-1,100.0,S,0.0,-7.766347057794967,-7.766347057794968,-7.766347057794967,8.881784197001252e-16,8.881784197001252e-16,1.3,0.8863636363636364,1.1522727272727273,1.1863636363636365,1.1522727272727271,2.220446049250313e-16,4.440892098500626e-16
halothane,dgk-1,340.0,S,0.0,-16.21418315492261,-16.214183154922612,-16.21418315492261,3.552713678800501e-15,3.552713678800501e-15,1.3,0.75,0.9750000000000001,1.05,0.9749999999999999,2.220446049250313e-16,3.3306690738754696e-16
halothane,dgk-1,1000.0,S,0.0,-23.2015584829008,-23.201558482900793,-23.2015584829008,7.105427357601002e-15,7.105427357601002e-15,1.3,0.6268656716417911,0.8149253731343284,0.9268656716417911,0.8149253731343284,0.0,1.1102230246251565e-16
isoflurane,gas-1,100.0,I,-3.9000000000000004,-8.429523809523808,-12.329523809523808,-12.329523809523808,0.0,1.7763568394002505e-15,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153849,3.3306690738754696e-16,4.440892098500626e-16
isoflurane,gas-1,340.0,I,-3.9000000000000004,-17.039765431290856,-20.939765431290855,-20.93976543129086,3.552713678800501e-15,3.552713678800501e-15,1.0,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.0,1.1102230246251565e-16
isoflurane,gas-1,1000.0,I,-3.9000000000000004,-23.76264673311185,-27.662646733111853,-27.66264673311185,3.552713678800501e-15,3.552713678800501e-15,1.0,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976747,2.220446049250313e-16,2.220446049250313e-16
isoflurane,gas-2,100.0,I,-2.6,-8.429523809523808,-11.029523809523807,-11.029523809523807,0.0,1.7763568394002505e-15,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153849,3.3306690738754696e-16,4.440892098500626e-16
isoflurane,gas-2,340.0,I,-2.6,-17.039765431290856,-19.639765431290858,-19.639765431290858,0.0,0.0,1.0,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.0,1.1102230246251565e-16
isoflurane,gas-2,1000.0,I,-2.6,-23.76264673311185,-26.362646733111852,-26.362646733111852,0.0,3.552713678800501e-15,1.0,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976747,2.220446049250313e-16,2.220446049250313e-16
isoflurane,nduf-6,100.0,I,-3.25,-8.429523809523808,-11.679523809523808,-11.679523809523808,0.0,0.0,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153849,3.3306690738754696e-16,4.440892098500626e-16
isoflurane,nduf-6,340.0,I,-3.25,-17.039765431290856,-20.289765431290853,-20.289765431290856,3.552713678800501e-15,3.552713678800501e-15,1.0,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.0,1.1102230246251565e-16
isoflurane,nduf-6,1000.0,I,-3.25,-23.76264673311185,-27.01264673311186,-27.01264673311185,1.0658141036401503e-14,1.0658141036401503e-14,1.0,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976747,2.220446049250313e-16,2.220446049250313e-16
isoflurane,ndus-8,100.0,I,-3.25,-8.429523809523808,-11.679523809523808,-11.679523809523808,0.0,0.0,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153849,3.3306690738754696e-16,4.440892098500626e-16
isoflurane,ndus-8,340.0,I,-3.25,-17.039765431290856,-20.289765431290853,-20.289765431290856,3.552713678800501e-15,3.552713678800501e-15,1.0,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.0,1.1102230246251565e-16
isoflurane,ndus-8,1000.0,I,-3.25,-23.76264673311185,-27.01264673311186,-27.01264673311185,1.0658141036401503e-14,1.0658141036401503e-14,1.0,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976747,2.220446049250313e-16,2.220446049250313e-16
isoflurane,nuo-1,100.0,I,-3.25,-8.429523809523808,-11.679523809523808,-11.679523809523808,0.0,0.0,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153849,3.3306690738754696e-16,4.440892098500626e-16
isoflurane,nuo-1,340.0,I,-3.25,-17.039765431290856,-20.289765431290853,-20.289765431290856,3.552713678800501e-15,3.552713678800501e-15,1.0,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.0,1.1102230246251565e-16
isoflurane,nuo-1,1000.0,I,-3.25,-23.76264673311185,-27.01264673311186,-27.01264673311185,1.0658141036401503e-14,1.0658141036401503e-14,1.0,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976747,2.220446049250313e-16,2.220446049250313e-16
isoflurane,unc-79,100.0,I,-3.705,-8.429523809523808,-12.134523809523811,-12.134523809523808,3.552713678800501e-15,3.552713678800501e-15,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153849,3.3306690738754696e-16,4.440892098500626e-16
isoflurane,unc-79,340.0,I,-3.705,-17.039765431290856,-20.744765431290855,-20.74476543129086,3.552713678800501e-15,0.0,1.0,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.0,1.1102230246251565e-16
isoflurane,unc-79,1000.0,I,-3.705,-23.76264673311185,-27.467646733111852,-27.46764673311185,3.552713678800501e-15,0.0,1.0,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976747,2.220446049250313e-16,2.220446049250313e-16
isoflurane,unc-80,100.0,I,-3.705,-8.429523809523808,-12.134523809523811,-12.134523809523808,3.552713678800501e-15,3.552713678800501e-15,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153849,3.3306690738754696e-16,4.440892098500626e-16
isoflurane,unc-80,340.0,I,-3.705,-17.039765431290856,-20.744765431290855,-20.74476543129086,3.552713678800501e-15,0.0,1.0,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.7571428571428571,0.0,1.1102230246251565e-16
isoflurane,unc-80,1000.0,I,-3.705,-23.76264673311185,-27.467646733111852,-27.46764673311185,3.552713678800501e-15,0.0,1.0,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976747,2.220446049250313e-16,2.220446049250313e-16
isoflurane,goa-1,100.0,S,0.0,-8.429523809523808,-8.429523809523808,-8.429523809523808,0.0,0.0,1.5,0.8846153846153846,1.3269230769230769,1.3846153846153846,1.3269230769230769,0.0,2.220446049250313e-16
isoflurane,goa-1,340.0,S,0.0,-17.039765431290856,-17.039765431290853,-17.039765431290856,3.552713678800501e-15,3.552713678800501e-15,1.5,0.7571428571428571,1.1357142857142857,1.2571428571428571,1.135714285714286,2.220446049250313e-16,2.220446049250313e-16
isoflurane,goa-1,1000.0,S,0.0,-23.76264673311185,-23.76264673311185,-23.76264673311185,0.0,0.0,1.5,0.6511627906976745,0.9767441860465117,1.1511627906976745,0.9767441860465119,2.220446049250313e-16,3.3306690738754696e-16
isoflurane,dgk-1,100.0,S,0.0,-8.429523809523808,-8.429523809523808,-8.429523809523808,0.0,0.0,1.3,0.8846153846153846,1.15,1.1846153846153846,1.1500000000000001,2.220446049250313e-16,2.220446049250313e-16
isoflurane,dgk-1,340.0,S,0.0,-17.039765431290856,-17.039765431290853,-17.039765431290856,3.552713678800501e-15,3.552713678800501e-15,1.3,0.7571428571428571,0.9842857142857143,1.0571428571428572,0.9842857142857141,2.220446049250313e-16,3.3306690738754696e-16
isoflurane,dgk-1,1000.0,S,0.0,-23.76264673311185,-23.76264673311185,-23.76264673311185,0.0,0.0,1.3,0.6511627906976745,0.8465116279069769,0.9511627906976745,0.8465116279069768,1.1102230246251565e-16,2.220446049250313e-16
sevoflurane,gas-1,100.0,I,-3.9000000000000004,-8.62952380952381,-12.52952380952381,-12.52952380952381,0.0,1.7763568394002505e-15,1.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.0,1.1102230246251565e-16
sevoflurane,gas-1,340.0,I,-3.9000000000000004,-17.22500498379736,-21.125004983797364,-21.12500498379736,3.552713678800501e-15,3.552713678800501e-15,1.0,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.0,1.1102230246251565e-16
sevoflurane,gas-1,1000.0,I,-3.9000000000000004,-23.858894269572232,-27.758894269572227,-27.75889426957223,3.552713678800501e-15,7.105427357601002e-15,1.0,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.0,1.1102230246251565e-16
sevoflurane,gas-2,100.0,I,-2.6,-8.62952380952381,-11.229523809523812,-11.22952380952381,1.7763568394002505e-15,0.0,1.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.0,1.1102230246251565e-16
sevoflurane,gas-2,340.0,I,-2.6,-17.22500498379736,-19.825004983797353,-19.82500498379736,7.105427357601002e-15,3.552713678800501e-15,1.0,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.0,1.1102230246251565e-16
sevoflurane,gas-2,1000.0,I,-2.6,-23.858894269572232,-26.45889426957223,-26.458894269572234,3.552713678800501e-15,3.552713678800501e-15,1.0,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.0,1.1102230246251565e-16
sevoflurane,nduf-6,100.0,I,-3.25,-8.62952380952381,-11.87952380952381,-11.87952380952381,0.0,0.0,1.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.0,1.1102230246251565e-16
sevoflurane,nduf-6,340.0,I,-3.25,-17.22500498379736,-20.47500498379736,-20.47500498379736,0.0,3.552713678800501e-15,1.0,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.0,1.1102230246251565e-16
sevoflurane,nduf-6,1000.0,I,-3.25,-23.858894269572232,-27.10889426957224,-27.108894269572232,7.105427357601002e-15,3.552713678800501e-15,1.0,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.0,1.1102230246251565e-16
sevoflurane,ndus-8,100.0,I,-3.25,-8.62952380952381,-11.87952380952381,-11.87952380952381,0.0,0.0,1.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.0,1.1102230246251565e-16
sevoflurane,ndus-8,340.0,I,-3.25,-17.22500498379736,-20.47500498379736,-20.47500498379736,0.0,3.552713678800501e-15,1.0,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.0,1.1102230246251565e-16
sevoflurane,ndus-8,1000.0,I,-3.25,-23.858894269572232,-27.10889426957224,-27.108894269572232,7.105427357601002e-15,3.552713678800501e-15,1.0,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.0,1.1102230246251565e-16
sevoflurane,nuo-1,100.0,I,-3.25,-8.62952380952381,-11.87952380952381,-11.87952380952381,0.0,0.0,1.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.0,1.1102230246251565e-16
sevoflurane,nuo-1,340.0,I,-3.25,-17.22500498379736,-20.47500498379736,-20.47500498379736,0.0,3.552713678800501e-15,1.0,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.0,1.1102230246251565e-16
sevoflurane,nuo-1,1000.0,I,-3.25,-23.858894269572232,-27.10889426957224,-27.108894269572232,7.105427357601002e-15,3.552713678800501e-15,1.0,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.0,1.1102230246251565e-16
sevoflurane,unc-79,100.0,I,-3.705,-8.62952380952381,-12.334523809523814,-12.33452380952381,3.552713678800501e-15,3.552713678800501e-15,1.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.0,1.1102230246251565e-16
sevoflurane,unc-79,340.0,I,-3.705,-17.22500498379736,-20.930004983797353,-20.93000498379736,7.105427357601002e-15,3.552713678800501e-15,1.0,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.0,1.1102230246251565e-16
sevoflurane,unc-79,1000.0,I,-3.705,-23.858894269572232,-27.56389426957224,-27.56389426957223,1.0658141036401503e-14,7.105427357601002e-15,1.0,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.0,1.1102230246251565e-16
sevoflurane,unc-80,100.0,I,-3.705,-8.62952380952381,-12.334523809523814,-12.33452380952381,3.552713678800501e-15,3.552713678800501e-15,1.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.0,1.1102230246251565e-16
sevoflurane,unc-80,340.0,I,-3.705,-17.22500498379736,-20.930004983797353,-20.93000498379736,7.105427357601002e-15,3.552713678800501e-15,1.0,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.7614035087719299,0.0,1.1102230246251565e-16
sevoflurane,unc-80,1000.0,I,-3.705,-23.858894269572232,-27.56389426957224,-27.56389426957223,1.0658141036401503e-14,7.105427357601002e-15,1.0,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.6747967479674797,0.0,1.1102230246251565e-16
sevoflurane,goa-1,100.0,S,0.0,-8.62952380952381,-8.62952380952381,-8.62952380952381,0.0,0.0,1.5,0.8787878787878788,1.3181818181818181,1.378787878787879,1.3181818181818181,0.0,2.220446049250313e-16
sevoflurane,goa-1,340.0,S,0.0,-17.22500498379736,-17.22500498379736,-17.22500498379736,0.0,0.0,1.5,0.7614035087719299,1.1421052631578947,1.26140350877193,1.1421052631578947,0.0,2.220446049250313e-16
sevoflurane,goa-1,1000.0,S,0.0,-23.858894269572232,-23.85889426957223,-23.858894269572232,3.552713678800501e-15,3.552713678800501e-15,1.5,0.6747967479674797,1.0121951219512195,1.1747967479674797,1.0121951219512193,2.220446049250313e-16,2.220446049250313e-16
sevoflurane,dgk-1,100.0,S,0.0,-8.62952380952381,-8.62952380952381,-8.62952380952381,0.0,0.0,1.3,0.8787878787878788,1.1424242424242426,1.1787878787878787,1.1424242424242426,0.0,2.220446049250313e-16
sevoflurane,dgk-1,340.0,S,0.0,-17.22500498379736,-17.22500498379736,-17.22500498379736,0.0,0.0,1.3,0.7614035087719299,0.9898245614035088,1.0614035087719298,0.9898245614035087,1.1102230246251565e-16,2.220446049250313e-16
sevoflurane,dgk-1,1000.0,S,0.0,-23.858894269572232,-23.85889426957223,-23.858894269572232,3.552713678800501e-15,3.552713678800501e-15,1.3,0.6747967479674797,0.8772357723577237,0.9747967479674797,0.8772357723577235,1.1102230246251565e-16,2.220446049250313e-16
