gene,volatile,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
WT,sevoflurane,350.0,7,0.6458333333333334,2.3385416666666665,0.6654166666666667
WT,sevoflurane,350.0,91,0.6875,2.4895833333333335,0.7155555555555555
WT,sevoflurane,500.0,42,0.8541666666666666,1.5677083333333333,0.4627777777777778
WT,sevoflurane,500.0,137,0.9166666666666666,1.5494791666666667,0.45625
WT,sevoflurane,500.0,219,0.7916666666666666,1.7161458333333333,0.4934722222222222
WT,sevoflurane,500.0,7,0.875,1.5078125,0.4479166666666667
WT,sevoflurane,500.0,91,0.875,1.7838541666666667,0.5152777777777777
WT,sevoflurane,1000.0,42,0.9791666666666666,0.8203125,0.2658333333333333
WT,sevoflurane,1000.0,137,0.9791666666666666,0.7734375,0.2619444444444444
gas-1,halothane,10.0,42,0.0,16.325520833333332,5.019861111111111
gas-1,halothane,10.0,137,0.0,15.380208333333334,4.784722222222222
gas-1,halothane,10.0,219,0.0,17.234375,5.313055555555556
gas-1,halothane,10.0,7,0.0,15.067708333333334,4.655694444444444
gas-1,halothane,100.0,219,0.020833333333333332,7.614583333333333,2.194166666666667
gas-1,halothane,100.0,7,0.08333333333333333,6.388020833333333,1.8533333333333333
gas-1,halothane,100.0,91,0.041666666666666664,7.2734375,2.09625
gas-1,halothane,200.0,42,0.4375,3.6041666666666665,0.9972222222222222
gas-1,halothane,200.0,137,0.4791666666666667,3.203125,0.9251388888888888
gas-1,halothane,200.0,219,0.3333333333333333,4.002604166666667,1.1055555555555556
gas-1,halothane,200.0,7,0.3958333333333333,3.2708333333333335,0.9083333333333333
gas-1,halothane,200.0,91,0.4583333333333333,3.6328125,1.0161111111111112
gas-1,halothane,350.0,42,0.875,1.6067708333333333,0.4677777777777778
gas-1,halothane,350.0,137,0.9166666666666666,1.6536458333333333,0.47875
gas-1,halothane,350.0,219,0.7708333333333334,1.8489583333333333,0.5225
gas-1,halothane,350.0,7,0.875,1.5078125,0.44569444444444445
gas-1,halothane,1000.0,219,1.0,0.5,0.17833333333333334
gas-1,halothane,1000.0,7,1.0,0.4114583333333333,0.16333333333333333
gas-1,halothane,1000.0,91,1.0,0.5625,0.1926388888888889
gas-1,halothane,3000.0,42,1.0,0.19010416666666666,0.10236111111111111
gas-1,halothane,500.0,7,0.9583333333333334,1.0989583333333333,0.3277777777777778
gas-1,halothane,500.0,91,0.9166666666666666,1.3046875,0.37527777777777777
gas-1,halothane,1000.0,42,1.0,0.3854166666666667,0.1634722222222222
gas-1,halothane,1000.0,137,1.0,0.421875,0.16916666666666666
gas-1,halothane,350.0,91,0.8958333333333334,1.8151041666666667,0.5258333333333334
gas-1,halothane,500.0,42,0.9791666666666666,1.0729166666666667,0.3176388888888889
gas-1,halothane,500.0,137,0.9583333333333334,1.0,0.31472222222222224
gas-1,halothane,500.0,219,0.9791666666666666,1.078125,0.33069444444444446
gas-1,halothane,3000.0,137,1.0,0.20052083333333334,0.10069444444444445
gas-1,halothane,3000.0,219,1.0,0.22916666666666666,0.10708333333333334
gas-1,halothane,3000.0,7,1.0,0.1796875,0.10111111111111111
gas-1,halothane,3000.0,91,1.0,0.25,0.11152777777777778
gas-1,isoflurane,30.0,7,0.0,11.7578125,3.5905555555555555
gas-1,isoflurane,30.0,91,0.0,13.3125,4.03625
gas-1,isoflurane,100.0,42,0.020833333333333332,6.901041666666667,1.9806944444444445
gas-1,isoflurane,100.0,137,0.041666666666666664,6.4765625,1.8609722222222222
gas-1,isoflurane,100.0,219,0.041666666666666664,7.158854166666667,2.054027777777778
gas-1,isoflurane,100.0,7,0.08333333333333333,5.877604166666667,1.7113888888888888
gas-1,isoflurane,100.0,91,0.08333333333333333,6.8515625,1.9768055555555555
gas-1,isoflurane,200.0,42,0.4791666666666667,3.3723958333333335,0.9219444444444445
gas-1,isoflurane,10.0,42,0.0,16.143229166666668,4.960833333333333
gas-1,isoflurane,10.0,137,0.0,15.2734375,4.741527777777778
gas-1,isoflurane,10.0,219,0.0,16.958333333333332,5.216388888888889
gas-1,isoflurane,10.0,7,0.0,14.9140625,4.603472222222222
gas-1,isoflurane,10.0,91,0.0,16.5625,5.100833333333333
gas-1,isoflurane,30.0,42,0.0,13.0546875,3.9505555555555554
gas-1,isoflurane,30.0,137,0.0,11.971354166666666,3.669583333333333
gas-1,isoflurane,30.0,219,0.0,13.528645833333334,4.082638888888889
gas-1,isoflurane,200.0,137,0.5416666666666666,2.9375,0.8541666666666666
gas-1,isoflurane,200.0,219,0.4583333333333333,3.5625,0.9947222222222222
gas-1,isoflurane,200.0,7,0.4375,2.9427083333333335,0.8301388888888889
gas-1,isoflurane,200.0,91,0.5,3.3515625,0.9434722222222223
gas-1,isoflurane,350.0,42,0.875,1.5364583333333333,0.44625
gas-1,isoflurane,350.0,137,0.9375,1.5338541666666667,0.4444444444444444
gas-1,isoflurane,350.0,219,0.7708333333333334,1.7291666666666667,0.49166666666666664
gas-1,isoflurane,350.0,7,0.875,1.4010416666666667,0.41375
gas-1,isoflurane,1000.0,219,1.0,0.5104166666666666,0.17652777777777778
gas-1,isoflurane,1000.0,7,1.0,0.4427083333333333,0.16541666666666666
gas-1,isoflurane,1000.0,91,1.0,0.578125,0.19069444444444444
gas-1,isoflurane,3000.0,42,1.0,0.20052083333333334,0.10430555555555555
gas-1,isoflurane,350.0,91,0.8958333333333334,1.6484375,0.48375
gas-1,isoflurane,500.0,42,0.9791666666666666,1.0208333333333333,0.3036111111111111
gas-1,isoflurane,500.0,137,0.9791666666666666,0.96875,0.30291666666666667
gas-1,isoflurane,500.0,219,0.9583333333333334,1.0729166666666667,0.32305555555555554
gas-1,sevoflurane,10.0,91,0.0,16.46875,5.060416666666667
gas-1,sevoflurane,30.0,42,0.0,12.671875,3.82875
gas-1,sevoflurane,30.0,137,0.0,11.7734375,3.605277777777778
gas-1,sevoflurane,30.0,219,0.0,13.354166666666666,4.027777777777778
gas-1,isoflurane,3000.0,137,1.0,0.24739583333333334,0.10541666666666667
gas-1,isoflurane,3000.0,219,1.0,0.2630208333333333,0.11027777777777778
gas-1,isoflurane,3000.0,7,1.0,0.22135416666666666,0.10444444444444445
gas-1,isoflurane,3000.0,91,1.0,0.2760416666666667,0.11416666666666667
gas-1,isoflurane,500.0,7,0.9375,1.0677083333333333,0.31958333333333333
gas-1,isoflurane,500.0,91,0.9166666666666666,1.2005208333333333,0.3540277777777778
gas-1,isoflurane,1000.0,42,1.0,0.3854166666666667,0.16125
gas-1,isoflurane,1000.0,137,0.9791666666666666,0.4375,0.16944444444444445
gas-1,sevoflurane,10.0,42,0.0,15.893229166666666,4.883194444444444
gas-1,sevoflurane,10.0,137,0.0,15.213541666666666,4.714166666666666
gas-1,sevoflurane,10.0,219,0.0,16.7890625,5.161111111111111
gas-1,sevoflurane,10.0,7,0.0,14.799479166666666,4.5626388888888885
gas-1,sevoflurane,30.0,7,0.0,11.606770833333334,3.525
gas-1,sevoflurane,30.0,91,0.0,13.075520833333334,3.9558333333333335
gas-1,sevoflurane,100.0,42,0.041666666666666664,6.671875,1.9015277777777777
gas-1,sevoflurane,100.0,137,0.041666666666666664,6.216145833333333,1.7851388888888888
gas-1,sevoflurane,350.0,42,0.8958333333333334,1.4973958333333333,0.4361111111111111
gas-1,sevoflurane,350.0,137,0.9375,1.5338541666666667,0.44375
gas-1,sevoflurane,350.0,219,0.7916666666666666,1.7682291666666667,0.49819444444444444
gas-1,sevoflurane,350.0,7,0.875,1.4557291666666667,0.4247222222222222
gas-1,sevoflurane,200.0,137,0.5416666666666666,2.9166666666666665,0.8402777777777778
gas-1,sevoflurane,200.0,219,0.4791666666666667,3.4583333333333335,0.9643055555555555
gas-1,sevoflurane,200.0,7,0.4791666666666667,2.8151041666666665,0.79625
gas-1,sevoflurane,200.0,91,0.5416666666666666,3.15625,0.8944444444444445
gas-1,sevoflurane,1000.0,219,1.0,0.5364583333333334,0.18194444444444444
gas-1,sevoflurane,1000.0,7,1.0,0.5364583333333334,0.17902777777777779
gas-1,sevoflurane,1000.0,91,1.0,0.6432291666666666,0.20402777777777778
gas-1,sevoflurane,3000.0,42,1.0,0.203125,0.10333333333333333
gas-1,sevoflurane,350.0,91,0.8958333333333334,1.6875,0.4911111111111111
gas-1,sevoflurane,500.0,42,0.9791666666666666,1.0364583333333333,0.30694444444444446
gas-1,sevoflurane,500.0,137,0.9791666666666666,0.9635416666666666,0.3020833333333333
gas-1,sevoflurane,500.0,219,0.9583333333333334,1.1328125,0.33611111111111114
gas-2,halothane,10.0,91,0.0,17.9609375,5.563055555555556
gas-2,halothane,30.0,42,0.0,14.611979166666666,4.447638888888889
gas-2,halothane,30.0,137,0.0,14.0390625,4.308472222222222
gas-2,halothane,30.0,219,0.0,15.440104166666666,4.689583333333333
gas-1,sevoflurane,100.0,219,0.041666666666666664,6.854166666666667,1.9659722222222222
gas-1,sevoflurane,100.0,7,0.08333333333333333,5.658854166666667,1.6443055555555555
gas-1,sevoflurane,100.0,91,0.08333333333333333,6.502604166666667,1.8758333333333332
gas-1,sevoflurane,200.0,42,0.5,3.2265625,0.8827777777777778
gas-1,sevoflurane,500.0,7,0.9375,1.0729166666666667,0.31916666666666665
gas-1,sevoflurane,500.0,91,0.9375,1.1588541666666667,0.3491666666666667
gas-1,sevoflurane,1000.0,42,1.0,0.4296875,0.16666666666666666
gas-1,sevoflurane,1000.0,137,1.0,0.4036458333333333,0.16416666666666666
gas-1,sevoflurane,3000.0,137,1.0,0.2760416666666667,0.11180555555555556
gas-1,sevoflurane,3000.0,219,1.0,0.3020833333333333,0.11625
gas-1,sevoflurane,3000.0,7,1.0,0.2265625,0.10680555555555556
gas-1,sevoflurane,3000.0,91,1.0,0.3307291666666667,0.12111111111111111
gas-2,halothane,10.0,42,0.0,17.6640625,5.465416666666667
gas-2,halothane,10.0,137,0.0,17.309895833333332,5.3758333333333335
gas-2,halothane,10.0,219,0.0,18.471354166666668,5.732222222222222
gas-2,halothane,10.0,7,0.0,16.697916666666668,5.195
gas-2,halothane,350.0,42,0.8125,1.90625,0.5444444444444444
gas-2,halothane,350.0,137,0.8958333333333334,1.8255208333333333,0.5406944444444445
gas-2,halothane,350.0,219,0.7083333333333334,2.0807291666666665,0.5947222222222223
gas-2,halothane,350.0,7,0.8333333333333334,1.7994791666666667,0.52
gas-2,halothane,30.0,7,0.0,13.640625,4.16625
gas-2,halothane,30.0,91,0.0,15.234375,4.622638888888889
gas-2,halothane,100.0,42,0.020833333333333332,8.234375,2.380138888888889
gas-2,halothane,100.0,137,0.0,7.716145833333333,2.254861111111111
gas-2,halothane,500.0,7,0.9375,1.2395833333333333,0.36333333333333334
gas-2,halothane,500.0,91,0.9166666666666666,1.3619791666666667,0.40555555555555556
gas-2,halothane,1000.0,42,0.9791666666666666,0.5026041666666666,0.1938888888888889
gas-2,halothane,1000.0,137,1.0,0.4791666666666667,0.18902777777777777
gas-2,halothane,200.0,137,0.375,3.875,1.1011111111111112
gas-2,halothane,200.0,219,0.20833333333333334,4.598958333333333,1.2768055555555555
gas-2,halothane,200.0,7,0.3333333333333333,3.7864583333333335,1.056111111111111
gas-2,halothane,200.0,91,0.375,4.0546875,1.1531944444444444
gas-2,halothane,3000.0,137,1.0,0.21875,0.11430555555555555
gas-2,halothane,3000.0,219,1.0,0.24479166666666666,0.11972222222222222
gas-2,halothane,3000.0,7,1.0,0.19010416666666666,0.11138888888888888
gas-2,halothane,3000.0,91,1.0,0.2786458333333333,0.12791666666666668
gas-2,halothane,100.0,219,0.0,8.286458333333334,2.4143055555555555
gas-2,halothane,100.0,7,0.020833333333333332,7.203125,2.1175
gas-2,halothane,100.0,91,0.020833333333333332,8.221354166666666,2.385
gas-2,halothane,200.0,42,0.2708333333333333,4.208333333333333,1.1665277777777778
gas-2,halothane,1000.0,219,1.0,0.578125,0.20291666666666666
gas-2,halothane,1000.0,7,1.0,0.4869791666666667,0.18888888888888888
gas-2,halothane,1000.0,91,1.0,0.6119791666666666,0.21694444444444444
gas-2,halothane,3000.0,42,1.0,0.2265625,0.11722222222222223
gas-2,halothane,350.0,91,0.7916666666666666,2.109375,0.6030555555555556
gas-2,halothane,500.0,42,0.9583333333333334,1.1901041666666667,0.36236111111111113
gas-2,halothane,500.0,137,0.9583333333333334,1.1614583333333333,0.35583333333333333
gas-2,halothane,500.0,219,0.9166666666666666,1.3463541666666667,0.39361111111111113
gas-2,isoflurane,100.0,219,0.0,7.893229166666667,2.2831944444444443
gas-2,isoflurane,100.0,7,0.020833333333333332,6.721354166666667,1.968888888888889
gas-2,isoflurane,100.0,91,0.020833333333333332,7.7421875,2.2305555555555556
gas-2,isoflurane,200.0,42,0.3125,3.8072916666666665,1.0554166666666667
gas-2,isoflurane,200.0,137,0.375,3.546875,1.0127777777777778
gas-2,isoflurane,200.0,219,0.25,4.25,1.175
gas-2,isoflurane,200.0,7,0.3541666666666667,3.4322916666666665,0.9620833333333333
gas-2,isoflurane,200.0,91,0.3958333333333333,3.8072916666666665,1.0725
gas-2,isoflurane,10.0,42,0.0,17.59375,5.439166666666667
gas-2,isoflurane,10.0,137,0.0,17.098958333333332,5.307083333333333
gas-2,isoflurane,10.0,219,0.0,18.239583333333332,5.663055555555555
gas-2,isoflurane,10.0,7,0.0,16.580729166666668,5.154444444444445
gas-2,isoflurane,10.0,91,0.0,17.817708333333332,5.5129166666666665
gas-2,isoflurane,30.0,42,0.0,14.239583333333334,4.326666666666667
gas-2,isoflurane,30.0,137,0.0,13.5546875,4.165416666666666
gas-2,isoflurane,30.0,219,0.0,15.075520833333334,4.5625
gas-2,isoflurane,500.0,7,0.9375,1.1848958333333333,0.3486111111111111
gas-2,isoflurane,500.0,91,0.9166666666666666,1.3515625,0.3972222222222222
gas-2,isoflurane,1000.0,42,0.9791666666666666,0.5260416666666666,0.19361111111111112
gas-2,isoflurane,1000.0,137,0.9791666666666666,0.53125,0.19402777777777777
gas-2,isoflurane,1000.0,219,1.0,0.5989583333333334,0.20125
gas-2,isoflurane,1000.0,7,1.0,0.5338541666666666,0.1909722222222222
gas-2,isoflurane,1000.0,91,1.0,0.6197916666666666,0.215
gas-2,isoflurane,3000.0,42,1.0,0.21354166666666666,0.11625
gas-2,isoflurane,30.0,7,0.0,13.15625,4.015833333333333
gas-2,isoflurane,30.0,91,0.0,14.752604166666666,4.482916666666667
gas-2,isoflurane,100.0,42,0.020833333333333332,7.783854166666667,2.2352777777777777
gas-2,isoflurane,100.0,137,0.020833333333333332,7.127604166666667,2.088888888888889
gas-2,isoflurane,350.0,42,0.8125,1.7994791666666667,0.5168055555555555
gas-2,isoflurane,350.0,137,0.8958333333333334,1.7421875,0.5091666666666667
gas-2,isoflurane,350.0,219,0.75,2.0026041666666665,0.5644444444444444
gas-2,isoflurane,350.0,7,0.8541666666666666,1.7005208333333333,0.4938888888888889
gas-2,isoflurane,350.0,91,0.8333333333333334,1.9869791666666667,0.5709722222222222
gas-2,isoflurane,500.0,42,0.9791666666666666,1.1380208333333333,0.34041666666666665
gas-2,isoflurane,500.0,137,0.9791666666666666,1.0520833333333333,0.33361111111111114
gas-2,isoflurane,500.0,219,0.9166666666666666,1.2265625,0.3705555555555556
gas-2,isoflurane,3000.0,137,1.0,0.2708333333333333,0.12055555555555555
gas-2,isoflurane,3000.0,219,1.0,0.28125,0.12236111111111111
gas-2,isoflurane,3000.0,7,1.0,0.24739583333333334,0.11805555555555555
gas-2,isoflurane,3000.0,91,1.0,0.3072916666666667,0.13027777777777777
gas-2,sevoflurane,30.0,7,0.0,12.921875,3.933611111111111
gas-2,sevoflurane,30.0,91,0.0,14.424479166666666,4.379861111111111
gas-2,sevoflurane,100.0,42,0.020833333333333332,7.458333333333333,2.1366666666666667
gas-2,sevoflurane,100.0,137,0.020833333333333332,6.9609375,2.029861111111111
gas-2,sevoflurane,10.0,42,0.0,17.528645833333332,5.408611111111111
gas-2,sevoflurane,10.0,137,0.0,16.9375,5.255138888888889
gas-2,sevoflurane,10.0,219,0.0,18.3515625,5.682916666666666
gas-2,sevoflurane,10.0,7,0.0,16.401041666666668,5.100416666666667
gas-2,sevoflurane,200.0,137,0.4375,3.28125,0.9519444444444445
gas-2,sevoflurane,200.0,219,0.3333333333333333,4.033854166666667,1.1183333333333334
gas-2,sevoflurane,200.0,7,0.375,3.3359375,0.9319444444444445
gas-2,sevoflurane,200.0,91,0.3958333333333333,3.65625,1.0304166666666668
gas-2,sevoflurane,350.0,91,0.8333333333333334,1.9921875,0.5684722222222223
gas-2,sevoflurane,500.0,42,0.9791666666666666,1.1588541666666667,0.34347222222222223
gas-2,sevoflurane,500.0,137,0.9791666666666666,1.0859375,0.3397222222222222
gas-2,sevoflurane,500.0,219,0.9375,1.2369791666666667,0.37375
gas-2,sevoflurane,100.0,219,0.0,7.5859375,2.1893055555555554
gas-2,sevoflurane,100.0,7,0.020833333333333332,6.463541666666667,1.8894444444444445
gas-2,sevoflurane,100.0,91,0.0625,7.3515625,2.129583333333333
gas-2,sevoflurane,200.0,42,0.4375,3.7083333333333335,1.024861111111111
gas-2,sevoflurane,10.0,91,0.0,17.830729166666668,5.507083333333333
gas-2,sevoflurane,30.0,42,0.0,14.015625,4.258611111111111
gas-2,sevoflurane,30.0,137,0.0,13.263020833333334,4.059166666666667
gas-2,sevoflurane,30.0,219,0.0,14.8125,4.478472222222222
gas-2,sevoflurane,3000.0,137,1.0,0.296875,0.12652777777777777
gas-2,sevoflurane,3000.0,219,1.0,0.3515625,0.1325
gas-2,sevoflurane,3000.0,7,1.0,0.265625,0.12222222222222222
gas-2,sevoflurane,3000.0,91,1.0,0.3671875,0.13805555555555554
gas-2,sevoflurane,350.0,42,0.8125,1.7890625,0.5125
gas-2,sevoflurane,350.0,137,0.8958333333333334,1.78125,0.5151388888888889
gas-2,sevoflurane,350.0,219,0.75,2.0052083333333335,0.5668055555555556
gas-2,sevoflurane,350.0,7,0.8541666666666666,1.6588541666666667,0.4831944444444444
nduf-6,halothane,10.0,91,0.0,17.40625,5.3684722222222225
nduf-6,halothane,30.0,42,0.0,13.989583333333334,4.255694444444444
nduf-6,halothane,30.0,137,0.0,13.338541666666666,4.082361111111111
nduf-6,halothane,30.0,219,0.0,14.731770833333334,4.458888888888889
gas-2,sevoflurane,500.0,7,0.9166666666666666,1.1875,0.34902777777777777
gas-2,sevoflurane,500.0,91,0.9166666666666666,1.4192708333333333,0.40944444444444444
gas-2,sevoflurane,1000.0,42,0.9791666666666666,0.5859375,0.2001388888888889
gas-2,sevoflurane,1000.0,137,1.0,0.5078125,0.19277777777777777
gas-2,sevoflurane,1000.0,219,1.0,0.6354166666666666,0.20958333333333334
gas-2,sevoflurane,1000.0,7,1.0,0.5911458333333334,0.19902777777777778
gas-2,sevoflurane,1000.0,91,1.0,0.6953125,0.23069444444444445
gas-2,sevoflurane,3000.0,42,1.0,0.28125,0.12472222222222222
nduf-6,halothane,200.0,137,0.375,3.65625,1.04
nduf-6,halothane,200.0,219,0.25,4.236979166666667,1.1752777777777779
nduf-6,halothane,200.0,7,0.3333333333333333,3.4973958333333335,0.9784722222222222
nduf-6,halothane,200.0,91,0.3958333333333333,3.8020833333333335,1.0788888888888888
