organism,subset,compound,max_qf,max_qf_dose_uM,total_pa,snare_gain,is_non_immobilizer
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,trans_12_dichloroethylene,0.0,100.0,-0.12580645161290324,1.0,True
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,hexafluoroethane,0.0,300.0,-0.22075471698113208,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,cis_12_dichloroethylene,0.9958333333333332,30000.0,-26.628273365978288,0.7077922077922078,False
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,trans_12_dichloroethylene,0.0,300.0,-0.3545454545454546,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,hexafluoroethane,0.0,300.0,-0.22075471698113208,1.0,True
fly,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,cis_12_dichloroethylene,1.0,10000.0,-10.603174603174605,0.7222222222222221,False
fly,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,trans_12_dichloroethylene,0.0,30.0,-0.01782178217821782,1.0,True
fly,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,hexafluoroethane,0.0,30.0,-0.01073558648111332,1.0,True
fly,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block|nachr_antagonism|glucl_potentiation,cis_12_dichloroethylene,1.0,10000.0,-11.714285714285714,1.0,False
fly,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block|nachr_antagonism|glucl_potentiation,trans_12_dichloroethylene,0.0,30.0,-0.01782178217821782,1.0,True
fly,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block|nachr_antagonism|glucl_potentiation,hexafluoroethane,0.0,100.0,-0.03529411764705882,1.0,True
fly,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,cis_12_dichloroethylene,1.0,30000.0,-12.289972322759208,0.7077922077922078,False
fly,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,trans_12_dichloroethylene,0.0,30.0,-0.01782178217821782,1.0,True
fly,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,hexafluoroethane,0.0,30.0,-0.01073558648111332,1.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block,cis_12_dichloroethylene,1.0,10000.0,-14.894179894179894,1.0,False
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block,trans_12_dichloroethylene,0.0,30.0,-0.0297029702970297,1.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block,hexafluoroethane,0.0,30.0,-0.01789264413518887,1.0,True
mouse,gaba_potentiation|complex_i_block|nca_block|nachr_antagonism,cis_12_dichloroethylene,1.0,10000.0,-14.814814814814817,1.0,False
mouse,gaba_potentiation|complex_i_block|nca_block|nachr_antagonism,trans_12_dichloroethylene,0.0,30.0,0.0,1.0,True
mouse,gaba_potentiation|complex_i_block|nca_block|nachr_antagonism,hexafluoroethane,0.0,30.0,0.0,1.0,True
mouse,k2p_potentiation|complex_i_block|nca_block|nachr_antagonism,cis_12_dichloroethylene,1.0,10000.0,-14.894179894179894,1.0,False
mouse,k2p_potentiation|complex_i_block|nca_block|nachr_antagonism,trans_12_dichloroethylene,0.0,100.0,-0.09677419354838711,1.0,True
mouse,k2p_potentiation|complex_i_block|nca_block|nachr_antagonism,hexafluoroethane,0.0,30.0,-0.01789264413518887,1.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,1.0,10000.0,-14.894179894179894,0.7222222222222221,False
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,0.0,30.0,-0.0297029702970297,1.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,0.0,30.0,-0.01789264413518887,1.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block|nachr_antagonism,cis_12_dichloroethylene,1.0,10000.0,-17.671957671957674,1.0,False
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block|nachr_antagonism,trans_12_dichloroethylene,0.0,30.0,-0.0297029702970297,1.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block|nachr_antagonism,hexafluoroethane,0.0,30.0,-0.01789264413518887,1.0,True
mouse,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,cis_12_dichloroethylene,1.0,10000.0,-14.814814814814817,0.7222222222222221,False
mouse,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,trans_12_dichloroethylene,0.0,30.0,0.0,1.0,True
mouse,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,hexafluoroethane,0.0,30.0,0.0,1.0,True
mouse,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,cis_12_dichloroethylene,1.0,10000.0,-14.894179894179894,0.7222222222222221,False
mouse,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,trans_12_dichloroethylene,0.0,30.0,-0.0297029702970297,1.0,True
mouse,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,hexafluoroethane,0.0,30.0,-0.01789264413518887,1.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,cis_12_dichloroethylene,1.0,3000.0,-15.203007518796994,0.763157894736842,False
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,trans_12_dichloroethylene,0.0,30.0,-0.0297029702970297,1.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,hexafluoroethane,0.0,30.0,-0.01789264413518887,1.0,True
